date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2021-11-16,9.07,1,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,0.667,0.667,0.667,0.0,10.0,27.9,17.5,0.0,0.0,0.0,14.3,33.4,102.0,120.0,7.2,"stephen curry,draymond green,jordan poole,andrew wiggins,kevon looney,damion lee,andre iguodala,jonathan kuminga,otto porter jr.,gary payton ii,moses moody,juan toscano-anderson","kevin durant,patty mills,james harden,bruce brown,blake griffin,deandre' bembry,jevon carter,cam thomas,day'ron sharpe,james johnson"
2021-11-24,2.65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,-5.5,"marcus smart,jayson tatum,al horford,jaylen brown,grant williams,dennis schroder,romeo langford,aaron nesmith,payton pritchard,juancho hernangomez,bruno fernando","kevin durant,james harden,patty mills,deandre' bembry,cam thomas,james johnson,jevon carter,day'ron sharpe"
2021-12-14,43.68,1,7.0,12.0,0.583,3.0,6.0,0.5,0.0,0.0,0.0,4.0,6.0,10.0,2.0,2.0,0.0,2.0,2.0,17.0,10.0,0.708,0.708,0.5,0.0,10.3,13.5,12.0,5.8,2.3,0.0,14.3,13.2,137.0,119.0,2.5,"fred vanvleet,pascal siakam,scottie barnes,gary trent jr.,chris boucher,yuta watanabe,justin champagnie,svi mykhailiuk,malachi flynn","kevin durant,patty mills,david duke jr.,blake griffin,nic claxton,cam thomas,day'ron sharpe"
2021-12-16,32.83,1,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,2.0,5.0,7.0,2.0,1.0,0.0,1.0,2.0,9.0,1.0,0.5,0.5,0.333,0.0,6.8,17.0,11.9,7.7,1.5,0.0,10.0,13.3,109.0,106.0,-0.9,"danny green,seth curry,tobias harris,shake milton,joel embiid,isaiah joe,matisse thybulle,andre drummond","kevin durant,patty mills,david duke jr.,blake griffin,nic claxton,cam thomas,day'ron sharpe,langston galloway"
2021-12-18,38.97,1,4.0,13.0,0.308,1.0,4.0,0.25,0.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,3.0,2.0,2.0,9.0,-19.0,0.346,0.346,0.308,0.0,4.6,7.9,6.1,7.2,0.0,5.9,13.3,15.3,75.0,104.0,-8.8,"robin lopez,gary harris,chuma okeke,mychal mulder,franz wagner,hassani gravett,aleem ford,admiral schofield","patty mills,cam thomas,david duke jr.,blake griffin,langston galloway,shaquille harrison"
2022-01-07,6.97,1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,15.0,43.1,29.3,49.2,0.0,13.5,0.0,12.4,91.0,112.0,9.9,"bobby portis,jordan nwora,khris middleton,wesley matthews,giannis antetokounmpo,langston galloway,sandro mamukelashvili,thanasis antetokounmpo,javonte smart,luke kornet,jeff dowtin","kevin durant,james harden,patty mills,nic claxton,david duke jr.,cam thomas,james johnson,bruce brown,deandre' bembry,day'ron sharpe,jevon carter"
2022-01-09,12.25,1,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,6.0,-6.0,1.0,1.0,0.667,0.0,0.0,24.0,13.1,0.0,3.8,5.8,40.0,16.8,95.0,94.0,8.4,"dejounte murray,joshua primo,keita bates-diop,jakob poeltl,lonnie walker iv,bryn forbes,jock landale,devontae cacok,joe wieskamp","james harden,kevin durant,patty mills,nic claxton,david duke jr.,cam thomas,deandre' bembry,day'ron sharpe,blake griffin,james johnson"
2022-01-10,15.23,0,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,1.0,2.0,5.0,3.0,0.357,0.357,0.429,0.0,6.6,30.7,17.7,0.0,3.2,0.0,12.5,22.4,72.0,111.0,-10.9,"nassir little,anfernee simons,robert covington,jusuf nurkic,cj elleby,cody zeller,trendon watford,dennis smith jr.","kevin durant,kyrie irving,deandre' bembry,david duke jr.,nic claxton,patty mills,cam thomas,day'ron sharpe,blake griffin,james johnson"
2022-01-12,28.53,0,4.0,8.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,4.0,9.0,8.0,0.563,0.563,0.5,0.0,5.3,0.0,2.2,4.0,5.1,3.3,11.1,14.0,108.0,109.0,-2.1,"zach lavine,demar derozan,lonzo ball,nikola vucevic,derrick jones jr.,coby white,ayo dosunmu,alfonzo mckinnie,troy brown jr.,tony bradley,devon dotson,marko simonovic","james harden,kevin durant,kyrie irving,day'ron sharpe,patty mills,blake griffin,deandre' bembry,cam thomas,david duke jr.,jevon carter,bruce brown,james johnson"
2022-01-13,24.83,1,4.0,10.0,0.4,0.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,-10.0,0.431,0.4,0.3,0.1,7.7,0.0,4.4,0.0,0.0,4.2,0.0,16.9,114.0,144.0,-11.0,"shai gilgeous-alexander,luguentz dort,josh giddey,aaron wiggins,jeremiah robinson-earl,ty jerome,tre mann,darius bazley,mike muscala,mamadi diakite","james harden,bruce brown,day'ron sharpe,deandre' bembry,cam thomas,jevon carter,david duke jr.,blake griffin,james johnson"
2022-01-15,37.02,1,6.0,10.0,0.6,4.0,5.0,0.8,0.0,0.0,0.0,1.0,5.0,6.0,2.0,0.0,1.0,1.0,3.0,16.0,16.0,0.8,0.8,0.5,0.0,4.1,13.8,9.8,6.8,0.0,2.3,9.1,13.5,147.0,114.0,4.0,"brandon ingram,josh hart,jonas valanciunas,herbert jones,devonte' graham,garrett temple,nickeil alexander-walker,jaxson hayes,jose alvarado,gary clark,naji marshall,trey murphy iii","james harden,patty mills,day'ron sharpe,kevin durant,cam thomas,blake griffin,bruce brown,deandre' bembry,jevon carter,david duke jr."
2022-01-17,37.87,0,4.0,8.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,11.0,-6.0,0.688,0.688,0.75,0.0,0.0,10.9,5.1,0.0,0.0,2.6,11.1,10.9,111.0,126.0,-3.8,"evan mobley,darius garland,jarrett allen,isaac okoro,lauri markkanen,cedi osman,kevin love,dylan windler,brandon goodwin","james harden,kyrie irving,patty mills,day'ron sharpe,cam thomas,blake griffin,bruce brown"
2022-01-19,35.4,0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,5.0,5.0,-8.0,0.625,0.625,0.5,0.0,4.0,9.7,7.1,0.0,4.2,0.0,20.0,6.2,106.0,116.0,-1.8,"bradley beal,spencer dinwiddie,kyle kuzma,kentavious caldwell-pope,daniel gafford,montrezl harrell,deni avdija,rui hachimura,corey kispert,thomas bryant,davis bertans","james harden,kyrie irving,patty mills,day'ron sharpe,cam thomas,bruce brown"
2022-01-21,32.3,0,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,2.0,3.0,5.0,0.0,3.0,1.0,2.0,1.0,5.0,20.0,0.357,0.357,0.429,0.0,6.6,7.8,7.3,0.0,4.7,2.3,22.2,11.9,71.0,101.0,-2.8,"dejounte murray,jakob poeltl,derrick white,keldon johnson,doug mcdermott,devin vassell,keita bates-diop,lonnie walker iv,drew eubanks,jock landale,juancho hernangomez,tre jones","james harden,kyrie irving,patty mills,day'ron sharpe,bruce brown,james johnson,blake griffin,cam thomas,deandre' bembry,david duke jr."
2022-01-23,29.07,0,6.0,10.0,0.6,3.0,7.0,0.429,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,15.0,-10.0,0.75,0.75,0.7,0.0,0.0,19.7,9.7,0.0,0.0,0.0,0.0,13.9,158.0,136.0,0.2,"karl-anthony towns,jarred vanderbilt,d'angelo russell,anthony edwards,jaden mcdaniels,jaylen nowell,taurean prince,naz reid,malik beasley,josh okogie,nathan knight,jake layman,jordan mclaughlin,mckinley wright iv","james harden,kyrie irving,patty mills,day'ron sharpe,james johnson,deandre' bembry,cam thomas,bruce brown,blake griffin,jevon carter"
2022-01-25,32.72,1,2.0,6.0,0.333,0.0,3.0,0.0,1.0,2.0,0.5,0.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,0.363,0.333,0.5,0.333,0.0,21.5,10.1,4.3,1.6,2.9,12.7,10.0,79.0,109.0,-4.7,"lebron james,russell westbrook,stanley johnson,anthony davis,malik monk,austin reaves,talen horton-tucker,kent bazemore","james harden,patty mills,deandre' bembry,day'ron sharpe,james johnson,bruce brown,nic claxton,cam thomas,jevon carter"
2022-01-26,36.62,1,3.0,7.0,0.429,0.0,2.0,0.0,3.0,3.0,1.0,2.0,4.0,6.0,1.0,0.0,2.0,2.0,4.0,9.0,2.0,0.541,0.429,0.286,0.429,6.2,11.9,9.1,3.4,0.0,4.9,19.4,12.1,101.0,124.0,-6.3,"nikola jokic,will barton,aaron gordon,monte morris,jeff green,austin rivers,facundo campazzo,bryn forbes,zeke nnaji,demarcus cousins,davon reed","james johnson,patty mills,deandre' bembry,cam thomas,jevon carter,blake griffin,bruce brown"
2022-01-29,31.55,0,1.0,4.0,0.25,1.0,2.0,0.5,1.0,2.0,0.5,2.0,4.0,6.0,1.0,0.0,2.0,3.0,2.0,4.0,-1.0,0.41,0.375,0.5,0.5,5.3,12.2,8.5,4.1,0.0,5.7,38.1,10.2,68.0,119.0,-8.4,"andrew wiggins,stephen curry,kevon looney,otto porter jr.,klay thompson,jordan poole,gary payton ii,damion lee,juan toscano-anderson,jonathan kuminga","kyrie irving,patty mills,deandre' bembry,nic claxton,james johnson,bruce brown,cam thomas,blake griffin"
2022-02-01,28.67,0,5.0,10.0,0.5,3.0,7.0,0.429,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,3.0,13.0,-18.0,0.65,0.65,0.7,0.0,0.0,24.6,12.0,0.0,1.8,0.0,9.1,18.2,108.0,126.0,-1.4,"devin booker,mikal bridges,chris paul,deandre ayton,jae crowder,cameron johnson,javale mcgee,elfrid payton,ish wainright,bismack biyombo,justin jackson,jalen smith","james harden,kyrie irving,patty mills,nic claxton,blake griffin,deandre' bembry,cam thomas,james johnson,bruce brown,jevon carter,day'ron sharpe"
2022-02-02,18.57,0,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,7.0,-12.0,0.5,0.5,0.429,0.0,6.0,17.2,11.8,0.0,0.0,0.0,22.2,22.6,80.0,126.0,-13.1,"tyrese haliburton,davion mitchell,maurice harkless,harrison barnes,richaun holmes,buddy hield,damian jones,chimezie metu,louis king","james harden,kyrie irving,patty mills,nic claxton,james johnson,cam thomas,blake griffin,bruce brown,deandre' bembry"
2022-02-04,18.18,0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,-17.0,0.0,0.0,0.333,0.0,0.0,15.1,5.7,0.0,5.5,0.0,25.0,9.4,0.0,123.0,-14.8,"bojan bogdanovic,royce o'neale,udoka azubuike,mike conley,donovan mitchell,trent forrest,jared butler,eric paschall,rudy gay,elijah hughes","kyrie irving,patty mills,james johnson,nic claxton,cam thomas,deandre' bembry,jevon carter,blake griffin,bruce brown,day'ron sharpe"
2022-02-06,20.47,0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,-18.0,0.25,0.25,0.25,0.0,9.0,24.1,15.5,7.0,2.4,0.0,0.0,8.8,91.0,125.0,-7.1,"will barton,aaron gordon,monte morris,nikola jokic,jeff green,bryn forbes,zeke nnaji,bones hyland,demarcus cousins,austin rivers,facundo campazzo,davon reed","kyrie irving,patty mills,blake griffin,james johnson,cam thomas,deandre' bembry,day'ron sharpe,bruce brown,jevon carter"
2022-02-08,14.68,1,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-26.0,0.0,0.0,0.667,0.0,11.7,9.1,10.7,0.0,0.0,0.0,25.0,11.1,26.0,134.0,-17.7,"jaylen brown,marcus smart,robert williams,jayson tatum,al horford,dennis schroder,grant williams,josh richardson,payton pritchard,aaron nesmith,romeo langford,bruno fernando","bruce brown,patty mills,deandre' bembry,blake griffin,jevon carter,david duke jr.,cam thomas,day'ron sharpe,james johnson"
2022-02-10,20.93,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,-3.0,0.0,0.0,1.0,0.0,0.0,22.9,11.1,0.0,0.0,4.2,33.3,6.5,0.0,122.0,-12.5,"kyle kuzma,kentavious caldwell-pope,raul neto,corey kispert,thomas bryant,deni avdija,anthony gill,rui hachimura,cassius winston","kyrie irving,cam thomas,patty mills,blake griffin,james johnson,day'ron sharpe,bruce brown,jevon carter,david duke jr."
2022-02-12,29.48,0,5.0,13.0,0.385,1.0,7.0,0.143,2.0,2.0,1.0,0.0,5.0,5.0,0.0,3.0,1.0,0.0,5.0,13.0,-1.0,0.468,0.423,0.538,0.154,0.0,19.4,8.8,0.0,4.9,3.1,0.0,20.4,97.0,108.0,-1.1,"bam adebayo,kyle lowry,jimmy butler,p.j. tucker,duncan robinson,gabe vincent,tyler herro,max strus,dewayne dedmon","kyrie irving,patty mills,bruce brown,blake griffin,cam thomas,day'ron sharpe,james johnson,jevon carter,david duke jr."
2022-02-14,25.25,1,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,1.0,3.0,16.0,0.3,0.3,0.6,0.0,0.0,17.6,10.3,0.0,0.0,0.0,28.6,12.5,42.0,88.0,-9.8,"de'aaron fox,justin holiday,harrison barnes,domantas sabonis,maurice harkless,donte divincenzo,davion mitchell,richaun holmes,chimezie metu,josh jackson,trey lyles","bruce brown,seth curry,patty mills,andre drummond,cam thomas,james johnson,jevon carter,blake griffin,david duke jr.,day'ron sharpe"
2022-02-16,7.73,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-11.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,122.0,-19.6,"julius randle,quentin grimes,evan fournier,mitchell robinson,kemba walker,alec burks,taj gibson,immanuel quickley,cam reddish,obi toppin","patty mills,seth curry,james johnson,bruce brown,andre drummond,cam thomas,blake griffin,jevon carter"
2022-02-17,18.42,1,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6,0.0,11.6,14.9,13.0,14.5,0.0,0.0,0.0,11.4,52.0,128.0,-13.2,"corey kispert,kyle kuzma,kentavious caldwell-pope,raul neto,thomas bryant,deni avdija,ish smith,rui hachimura,anthony gill,daniel gafford","bruce brown,seth curry,patty mills,andre drummond,cam thomas,david duke jr.,jevon carter,blake griffin,day'ron sharpe"
2022-02-24,18.72,1,4.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,5.0,2.0,0.0,0.0,1.0,2.0,13.0,-8.0,1.332,1.375,0.75,0.5,10.7,20.2,14.9,17.8,0.0,0.0,17.0,13.0,200.0,130.0,15.3,"jayson tatum,al horford,marcus smart,jaylen brown,robert williams,grant williams,derrick white,payton pritchard,aaron nesmith,daniel theis,sam hauser,brodric thomas,luke kornet","bruce brown,seth curry,james johnson,patty mills,andre drummond,cam thomas,nic claxton,david duke jr.,blake griffin,day'ron sharpe"
2022-02-26,12.92,0,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,-6.0,0.3,0.3,0.4,0.0,7.3,11.6,9.0,18.4,0.0,0.0,0.0,16.4,97.0,126.0,-7.1,"jrue holiday,giannis antetokounmpo,khris middleton,bobby portis,grayson allen,wesley matthews,serge ibaka,deandre' bembry,jevon carter,jordan nwora,lindell wigginton","kyrie irving,james johnson,bruce brown,andre drummond,seth curry,patty mills,goran dragic,cam thomas"
2022-02-28,24.77,1,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,4.0,2.0,5.0,-20.0,0.417,0.417,0.667,0.0,0.0,16.5,8.4,0.0,1.9,0.0,40.0,16.3,47.0,128.0,-14.0,"scottie barnes,malachi flynn,pascal siakam,gary trent jr.,khem birch,precious achiuwa,thaddeus young,yuta watanabe,dalano banton,chris boucher,svi mykhailiuk,justin champagnie,d.j. wilson","bruce brown,seth curry,patty mills,james johnson,andre drummond,cam thomas,david duke jr.,goran dragic,day'ron sharpe,nic claxton,blake griffin"
2022-03-01,1.82,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,123.0,-30.3,"malachi flynn,scottie barnes,gary trent jr.,pascal siakam,khem birch,thaddeus young,chris boucher,precious achiuwa,dalano banton","seth curry,bruce brown,patty mills,james johnson,nic claxton,blake griffin,cam thomas,goran dragic"
2022-03-08,0.67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,65.0,0.0,125.0,-71.3,"miles bridges,terry rozier,p.j. washington,lamelo ball,mason plumlee,cody martin,kelly oubre jr.,montrezl harrell,jalen mcdaniels","kevin durant,kyrie irving,seth curry,bruce brown,andre drummond,goran dragic,patty mills,nic claxton,james johnson,cam thomas"
2022-03-10,5.52,0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.0,0.0,0.0,0.667,0.0,20.2,33.5,27.5,0.0,0.0,0.0,25.0,31.8,25.0,97.0,-36.5,"joel embiid,tyrese maxey,tobias harris,james harden,matisse thybulle,shake milton,georges niang,deandre jordan,furkan korkmaz,isaiah joe,paul reed","kevin durant,kyrie irving,bruce brown,seth curry,andre drummond,james johnson,goran dragic,nic claxton,patty mills,cam thomas"
