date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-26,38.12,0,3.0,8.0,0.375,1.0,4.0,0.25,4.0,6.0,0.667,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,11.0,-6.0,0.517,0.438,0.5,0.75,0.0,9.7,4.8,3.4,1.3,0.0,8.6,13.8,102.0,122.0,-5.1,"cj mccollum,damian lillard,robert covington,derrick jones jr.,jusuf nurkic,anfernee simons,gary trent jr.","christian wood,james harden,p.j. tucker,david nwaba,jae'sean tate,sterling brown,brodric thomas,bruno caboclo"
2020-12-28,28.93,0,1.0,9.0,0.111,0.0,5.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,6.0,0.0,0.0,0.0,5.0,3.0,-9.0,0.152,0.111,0.556,0.222,0.0,15.1,7.4,26.7,0.0,0.0,0.0,14.8,67.0,123.0,-11.8,"nikola jokic,jamal murray,gary harris,michael porter jr.,monte morris,will barton,pj dozier,isaiah hartenstein,facundo campazzo,bol bol,r.j. hampton,vlatko cancar,zeke nnaji","christian wood,david nwaba,james harden,p.j. tucker,sterling brown,jae'sean tate,bruno caboclo,brodric thomas"
2020-12-31,27.9,1,5.0,6.0,0.833,1.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,11.0,7.0,0.917,0.917,0.333,0.0,0.0,17.6,9.6,4.7,0.0,0.0,0.0,9.0,183.0,118.0,-0.4,"buddy hield,harrison barnes,richaun holmes,de'aaron fox,marvin bagley iii,tyrese haliburton,cory joseph","james harden,john wall,p.j. tucker,christian wood,eric gordon,jae'sean tate,demarcus cousins,sterling brown"
2021-01-02,35.53,1,1.0,4.0,0.25,1.0,4.0,0.25,2.0,2.0,1.0,1.0,5.0,6.0,1.0,0.0,1.0,0.0,2.0,5.0,14.0,0.512,0.375,1.0,0.5,3.5,12.1,8.5,3.9,0.0,2.2,0.0,6.3,125.0,103.0,-4.5,"harrison barnes,buddy hield,de'aaron fox,richaun holmes,marvin bagley iii,cory joseph,kyle guy","john wall,christian wood,p.j. tucker,eric gordon,sterling brown,jae'sean tate,demarcus cousins,david nwaba"
2021-01-26,13.52,1,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,9.0,0.25,0.25,0.0,0.0,0.0,7.4,3.8,0.0,0.0,6.0,20.0,15.6,41.0,92.0,-14.0,"bradley beal,robin lopez,russell westbrook,anthony gill,jerome robinson,garrison mathews,raul neto,jordan bell,alex len,cassius winston","victor oladipo,p.j. tucker,demarcus cousins,jae'sean tate,john wall,eric gordon,david nwaba,sterling brown"
2021-01-28,19.23,1,4.0,7.0,0.571,2.0,5.0,0.4,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,9.0,0.739,0.714,0.714,0.143,5.1,5.3,5.2,8.9,0.0,0.0,0.0,16.7,154.0,112.0,5.6,"gary trent jr.,damian lillard,derrick jones jr.,anfernee simons,nassir little","victor oladipo,christian wood,p.j. tucker,john wall,jae'sean tate,eric gordon,sterling brown,david nwaba,demarcus cousins"
2021-01-30,27.68,0,2.0,7.0,0.286,2.0,5.0,0.4,2.0,2.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,8.0,9.0,0.508,0.429,0.714,0.286,0.0,14.4,7.5,16.7,1.6,3.5,11.3,13.4,110.0,106.0,0.2,"brandon ingram,zion williamson,lonzo ball,steven adams,nickeil alexander-walker,josh hart,jaxson hayes,kira lewis jr.,wenyen gabriel","christian wood,john wall,p.j. tucker,victor oladipo,jae'sean tate,eric gordon,sterling brown,david nwaba,demarcus cousins,mason jones"
2021-02-01,25.85,0,4.0,8.0,0.5,4.0,6.0,0.667,1.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,13.0,12.0,0.77,0.75,0.75,0.125,0.0,15.5,7.8,4.5,1.8,3.4,0.0,13.3,153.0,101.0,5.6,"darius bazley,shai gilgeous-alexander,theo maledon,al horford,luguentz dort,kenrich williams,aleksej pokusevski,hamidou diallo,mike muscala,isaiah roby,justin jackson,josh hall,moses brown","p.j. tucker,christian wood,victor oladipo,jae'sean tate,john wall,eric gordon,demarcus cousins,sterling brown,mason jones"
2021-02-03,25.4,0,1.0,7.0,0.143,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,3.0,2.0,2.0,-18.0,0.143,0.143,0.714,0.0,0.0,18.4,8.2,18.2,1.8,0.0,30.0,16.9,35.0,99.0,-14.4,"theo maledon,darius bazley,hamidou diallo,al horford,luguentz dort,justin jackson,kenrich williams,isaiah roby,mike muscala","victor oladipo,jae'sean tate,eric gordon,p.j. tucker,christian wood,demarcus cousins,sterling brown,mason jones"
2021-02-04,31.57,0,5.0,9.0,0.556,3.0,5.0,0.6,0.0,1.0,0.0,0.0,2.0,2.0,5.0,3.0,0.0,0.0,3.0,13.0,-14.0,0.689,0.722,0.556,0.111,0.0,6.5,3.5,22.8,4.7,0.0,0.0,13.2,151.0,103.0,8.7,"ja morant,dillon brooks,brandon clarke,kyle anderson,xavier tillman sr.,desmond bane,de'anthony melton,gorgui dieng,tyus jones,john konchar","p.j. tucker,eric gordon,jae'sean tate,john wall,christian wood,sterling brown,demarcus cousins,mason jones"
2021-02-06,25.28,1,4.0,11.0,0.364,3.0,8.0,0.375,1.0,2.0,0.5,1.0,4.0,5.0,0.0,1.0,0.0,1.0,4.0,12.0,-3.0,0.505,0.5,0.727,0.182,4.4,16.2,10.5,0.0,1.8,0.0,7.8,22.0,93.0,108.0,-4.2,"demar derozan,dejounte murray,derrick white,jakob poeltl,keldon johnson,patty mills,rudy gay,drew eubanks,devin vassell","john wall,victor oladipo,demarcus cousins,p.j. tucker,jae'sean tate,eric gordon,david nwaba,sterling brown"
2021-02-08,30.38,0,5.0,11.0,0.455,2.0,7.0,0.286,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,13.0,-19.0,0.547,0.545,0.636,0.182,3.3,7.5,5.3,11.7,0.0,0.0,7.8,19.6,107.0,133.0,-5.4,"gordon hayward,lamelo ball,terry rozier,cody zeller,p.j. washington,miles bridges,caleb martin,malik monk,bismack biyombo,cody martin,nick richards","victor oladipo,jae'sean tate,demarcus cousins,p.j. tucker,david nwaba,sterling brown,mason jones"
2021-02-09,34.28,0,4.0,13.0,0.308,1.0,7.0,0.143,4.0,4.0,1.0,3.0,5.0,8.0,5.0,3.0,0.0,1.0,3.0,13.0,-21.0,0.44,0.346,0.538,0.308,8.1,17.5,12.2,21.6,4.4,0.0,6.3,19.7,109.0,127.0,0.0,"lonzo ball,brandon ingram,steven adams,zion williamson,josh hart,willy hernangomez,kira lewis jr.,nickeil alexander-walker,jaxson hayes,wenyen gabriel","john wall,eric gordon,jae'sean tate,p.j. tucker,demarcus cousins,sterling brown,david nwaba,mason jones"
2021-02-11,31.02,1,3.0,13.0,0.231,1.0,9.0,0.111,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0,-8.0,0.324,0.269,0.692,0.154,0.0,7.4,3.4,5.7,1.6,4.2,6.7,22.0,65.0,104.0,-9.0,"kendrick nunn,jimmy butler,bam adebayo,kelly olynyk,duncan robinson,andre iguodala,max strus,gabe vincent,precious achiuwa","john wall,jae'sean tate,demarcus cousins,p.j. tucker,victor oladipo,eric gordon,sterling brown,david nwaba"
2021-02-13,22.6,0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,-10.0,0.0,0.0,0.625,0.0,0.0,11.2,4.7,6.4,0.0,11.0,11.1,17.3,7.0,118.0,-16.3,"julius randle,nerlens noel,reggie bullock,rj barrett,elfrid payton,alec burks,derrick rose,immanuel quickley,taj gibson,obi toppin,kevin knox,austin rivers,theo pinson","eric gordon,p.j. tucker,john wall,jae'sean tate,demarcus cousins,sterling brown,david nwaba,ray spalding,mason jones"
2021-02-15,35.88,0,6.0,10.0,0.6,1.0,4.0,0.25,4.0,5.0,0.8,1.0,4.0,5.0,3.0,1.0,1.0,4.0,2.0,17.0,-5.0,0.697,0.65,0.4,0.5,2.9,12.7,7.6,11.5,1.2,2.2,24.7,17.5,110.0,120.0,-1.4,"rui hachimura,bradley beal,russell westbrook,moritz wagner,garrison mathews,davis bertans,raul neto,robin lopez,deni avdija","david nwaba,jae'sean tate,john wall,demarcus cousins,sterling brown,mason jones,ray spalding"
2021-02-17,20.57,0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,8.0,-13.0,1.0,1.0,0.75,0.0,9.5,0.0,5.4,6.7,0.0,0.0,20.0,9.9,154.0,121.0,1.6,"joel embiid,seth curry,tobias harris,danny green,matisse thybulle,furkan korkmaz,isaiah joe,tyrese maxey","demarcus cousins,john wall,eric gordon,jae'sean tate,sterling brown,david nwaba,mason jones"
2021-02-22,26.03,1,5.0,9.0,0.556,4.0,5.0,0.8,1.0,2.0,0.5,1.0,5.0,6.0,2.0,1.0,0.0,0.0,1.0,15.0,-37.0,0.759,0.778,0.556,0.222,3.2,21.4,11.0,13.3,1.9,0.0,0.0,16.1,153.0,121.0,8.6,"patrick williams,zach lavine,coby white,wendell carter jr.,garrett temple,thaddeus young,denzel valentine,ryan arcidiacono,daniel gafford","jae'sean tate,eric gordon,john wall,p.j. tucker,sterling brown,david nwaba,mason jones"
2021-02-24,34.15,0,6.0,14.0,0.429,2.0,5.0,0.4,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,3.0,0.0,3.0,14.0,-9.0,0.5,0.5,0.357,0.0,2.7,16.1,8.0,15.3,0.0,8.6,0.0,18.8,110.0,121.0,-1.1,"collin sexton,jarrett allen,darius garland,isaac okoro,dean wade,dylan windler,cedi osman,lamar stevens,javale mcgee,taurean prince","victor oladipo,p.j. tucker,john wall,jae'sean tate,eric gordon,sterling brown,david nwaba"
2021-02-26,33.3,0,3.0,8.0,0.375,3.0,7.0,0.429,2.0,2.0,1.0,1.0,5.0,6.0,1.0,0.0,0.0,3.0,5.0,11.0,-27.0,0.619,0.563,0.875,0.25,3.3,17.6,10.2,4.2,0.0,0.0,25.3,15.5,95.0,126.0,-8.2,"fred vanvleet,kyle lowry,norman powell,og anunoby,chris boucher,deandre' bembry,yuta watanabe,terence davis,patrick mccaw,stanley johnson","john wall,victor oladipo,p.j. tucker,jae'sean tate,eric gordon,sterling brown,david nwaba"
2021-02-28,23.5,1,2.0,11.0,0.182,0.0,6.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,5.0,-26.0,0.219,0.182,0.545,0.091,10.8,11.0,10.9,0.0,0.0,0.0,14.9,22.1,50.0,127.0,-15.3,"desmond bane,ja morant,kyle anderson,dillon brooks,jonas valanciunas,de'anthony melton,justise winslow,brandon clarke,xavier tillman sr.,tyus jones,john konchar,gorgui dieng,killian tillie","john wall,eric gordon,p.j. tucker,sterling brown,jae'sean tate,david nwaba,mason jones"
2021-03-01,10.85,1,1.0,3.0,0.333,1.0,2.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,-8.0,0.515,0.5,0.667,0.667,0.0,41.5,17.0,0.0,0.0,0.0,0.0,17.1,102.0,110.0,-7.3,"collin sexton,isaac okoro,jarrett allen,darius garland,dean wade,cedi osman,dylan windler,javale mcgee,lamar stevens","victor oladipo,john wall,p.j. tucker,sterling brown,jae'sean tate,mason jones"
2021-03-17,24.25,1,4.0,8.0,0.5,2.0,2.0,1.0,1.0,5.0,0.2,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,11.0,-15.0,0.539,0.625,0.25,0.625,0.0,12.9,6.2,7.9,0.0,0.0,8.9,19.5,94.0,112.0,-2.3,"kelly oubre jr.,draymond green,stephen curry,andrew wiggins,kevon looney,jordan poole,damion lee,nico mannion,kent bazemore,juan toscano-anderson","kevin porter jr.,sterling brown,jae'sean tate,christian wood,kenyon martin jr.,anthony lamb,mason jones"
2021-03-19,34.42,1,4.0,10.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,4.0,10.0,-11.0,0.5,0.5,0.4,0.0,0.0,13.0,6.4,8.3,1.4,0.0,0.0,12.9,106.0,119.0,-3.8,"saddiq bey,jerami grant,delon wright,frank jackson,mason plumlee,josh jackson,isaiah stewart,dennis smith jr.,saben lee,tyler cook,sekou doumbouya,deividas sirvydis","victor oladipo,jae'sean tate,john wall,christian wood,sterling brown,kenyon martin jr.,kevin porter jr.,d.j. wilson,anthony lamb"
2021-03-21,33.15,1,7.0,9.0,0.778,3.0,4.0,0.75,1.0,2.0,0.5,1.0,7.0,8.0,2.0,1.0,0.0,0.0,1.0,18.0,-1.0,0.911,0.944,0.444,0.222,3.5,20.7,12.9,10.0,1.5,0.0,0.0,13.4,181.0,114.0,8.5,"isaiah roby,luguentz dort,theo maledon,aleksej pokusevski,moses brown,ty jerome,kenrich williams,svi mykhailiuk,justin jackson","victor oladipo,christian wood,john wall,jae'sean tate,kevin porter jr.,sterling brown,kenyon martin jr.,d.j. wilson"
2021-03-22,36.78,1,4.0,5.0,0.8,2.0,3.0,0.667,2.0,3.0,0.667,0.0,3.0,3.0,6.0,0.0,1.0,3.0,3.0,12.0,14.0,0.949,1.0,0.6,0.6,0.0,8.7,4.3,21.9,0.0,2.8,32.2,10.8,131.0,106.0,2.5,"fred vanvleet,kyle lowry,pascal siakam,norman powell,stanley johnson,chris boucher,malachi flynn,deandre' bembry,patrick mccaw","jae'sean tate,john wall,sterling brown,christian wood,kenyon martin jr.,d.j. wilson"
