date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,19.3,0,5.0,11.0,0.455,2.0,4.0,0.5,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,13.0,13.0,0.568,0.545,0.364,0.091,0.0,11.1,5.5,14.0,0.0,0.0,0.0,24.2,119.0,116.0,-4.0,"ja morant,dillon brooks,jonas valanciunas,kyle anderson,grayson allen,brandon clarke,de'anthony melton,tyus jones,gorgui dieng,desmond bane","demar derozan,lonnie walker iv,keldon johnson,dejounte murray,rudy gay,devin vassell,jakob poeltl"
2020-12-26,29.63,1,8.0,9.0,0.889,5.0,6.0,0.833,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,21.0,12.0,1.167,1.167,0.667,0.0,3.2,0.0,1.6,14.3,0.0,0.0,10.0,13.2,187.0,117.0,12.4,"pascal siakam,og anunoby,kyle lowry,fred vanvleet,chris boucher,norman powell,deandre' bembry","demar derozan,dejounte murray,keldon johnson,lonnie walker iv,rudy gay,jakob poeltl,devin vassell,trey lyles"
2020-12-27,23.1,0,3.0,6.0,0.5,2.0,4.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,10.0,11.0,0.727,0.667,0.667,0.333,0.0,7.4,4.0,19.6,0.0,0.0,12.7,15.2,128.0,105.0,2.7,"zion williamson,lonzo ball,brandon ingram,steven adams,josh hart,jaxson hayes","lonnie walker iv,demar derozan,dejounte murray,keldon johnson,rudy gay,jakob poeltl,devin vassell,trey lyles"
2020-12-30,22.25,1,3.0,7.0,0.429,2.0,5.0,0.4,4.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,0.0,0.0,1.0,12.0,-9.0,0.685,0.571,0.714,0.571,4.6,11.1,7.5,25.7,4.3,0.0,0.0,17.6,153.0,117.0,11.5,"lebron james,dennis schroder,anthony davis,kentavious caldwell-pope,kyle kuzma,montrezl harrell,wesley matthews,markieff morris,alfonzo mckinnie","demar derozan,dejounte murray,lonnie walker iv,keldon johnson,jakob poeltl,rudy gay,drew eubanks,devin vassell,tre jones,keita bates-diop,luka samanic"
2021-01-01,24.97,1,3.0,7.0,0.429,2.0,4.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,2.0,10.0,2.0,0.635,0.571,0.571,0.286,0.0,10.9,5.6,25.4,0.0,0.0,11.3,15.6,124.0,113.0,1.1,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,wesley matthews,kyle kuzma,montrezl harrell,talen horton-tucker,markieff morris","demar derozan,keldon johnson,dejounte murray,lonnie walker iv,jakob poeltl,rudy gay,drew eubanks,derrick white"
2021-01-03,22.72,1,3.0,9.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,8.0,-19.0,0.444,0.444,0.556,0.0,0.0,0.0,0.0,11.2,0.0,4.4,0.0,15.7,99.0,130.0,-5.3,"royce o'neale,donovan mitchell,rudy gobert,bojan bogdanovic,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,miye oni,shaquille harrison,udoka azubuike,elijah hughes,juwan morgan","keldon johnson,demar derozan,dejounte murray,jakob poeltl,lonnie walker iv,rudy gay,devin vassell,trey lyles,drew eubanks,tre jones,luka samanic"
2021-01-05,28.68,0,8.0,16.0,0.5,8.0,12.0,0.667,3.0,4.0,0.75,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,27.0,8.0,0.76,0.75,0.75,0.25,0.0,4.2,1.9,5.5,1.7,0.0,5.3,28.3,141.0,120.0,12.4,"luke kennard,kawhi leonard,nicolas batum,patrick beverley,serge ibaka,ivica zubac,reggie jackson,terance mann,amir coffey","dejounte murray,keldon johnson,lonnie walker iv,demar derozan,rudy gay,jakob poeltl,devin vassell"
2021-01-07,25.25,0,3.0,8.0,0.375,1.0,3.0,0.333,3.0,3.0,1.0,0.0,2.0,2.0,7.0,0.0,0.0,2.0,0.0,10.0,5.0,0.536,0.438,0.375,0.375,0.0,8.8,4.3,35.7,0.0,0.0,17.7,20.4,112.0,116.0,-0.8,"lebron james,anthony davis,kyle kuzma,dennis schroder,wesley matthews,talen horton-tucker,alex caruso,montrezl harrell,markieff morris,alfonzo mckinnie","demar derozan,dejounte murray,keldon johnson,lonnie walker iv,rudy gay,jakob poeltl,devin vassell,keita bates-diop,tre jones,trey lyles,luka samanic"
2021-01-09,30.17,0,8.0,14.0,0.571,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,21.0,0.0,0.75,0.75,0.571,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,20.5,147.0,122.0,3.5,"malik beasley,d'angelo russell,karl-anthony towns,jarrett culver,juancho hernangomez,ricky rubio,anthony edwards,naz reid,jarred vanderbilt,jake layman","demar derozan,keldon johnson,dejounte murray,lonnie walker iv,rudy gay,jakob poeltl,devin vassell"
2021-01-10,29.35,0,7.0,19.0,0.368,3.0,13.0,0.231,1.0,1.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,18.0,-1.0,0.463,0.447,0.684,0.053,0.0,7.3,3.4,26.6,0.0,0.0,9.3,31.8,89.0,106.0,-1.4,"malik beasley,d'angelo russell,juancho hernangomez,jarrett culver,naz reid,ricky rubio,josh okogie,jarred vanderbilt,anthony edwards","dejounte murray,trey lyles,keldon johnson,lonnie walker iv,rudy gay,jakob poeltl,devin vassell"
2021-01-12,25.37,0,7.0,15.0,0.467,3.0,10.0,0.3,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,17.0,12.0,0.567,0.567,0.667,0.0,0.0,4.1,1.9,34.1,0.0,0.0,0.0,26.1,118.0,109.0,2.8,"shai gilgeous-alexander,darius bazley,al horford,george hill,luguentz dort,hamidou diallo,mike muscala,aleksej pokusevski,theo maledon,isaiah roby,justin jackson,kenrich williams","keldon johnson,lonnie walker iv,dejounte murray,trey lyles,devin vassell,rudy gay,jakob poeltl"
2021-01-14,27.18,1,3.0,10.0,0.3,1.0,7.0,0.143,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,7.0,-14.0,0.35,0.35,0.7,0.0,0.0,8.6,3.9,14.4,0.0,0.0,9.1,17.8,77.0,117.0,-11.8,"sterling brown,p.j. tucker,christian wood,jae'sean tate,david nwaba,demarcus cousins,kenyon martin jr.,mason jones","dejounte murray,demar derozan,keldon johnson,lonnie walker iv,devin vassell,rudy gay,jakob poeltl"
2021-01-16,22.25,1,4.0,12.0,0.333,2.0,6.0,0.333,1.0,2.0,0.5,2.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,11.0,2.0,0.427,0.417,0.5,0.167,7.7,4.1,5.9,20.6,0.0,0.0,13.4,26.3,92.0,99.0,-3.6,"christian wood,p.j. tucker,mason jones,jae'sean tate,david nwaba,kenyon martin jr.","demar derozan,dejounte murray,keldon johnson,lonnie walker iv,jakob poeltl,rudy gay,devin vassell"
2021-01-18,23.98,0,8.0,11.0,0.727,5.0,7.0,0.714,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,21.0,12.0,0.955,0.955,0.636,0.0,0.0,4.5,2.4,6.3,0.0,0.0,0.0,20.2,182.0,114.0,12.3,"damian lillard,derrick jones jr.,robert covington,gary trent jr.,anfernee simons,nassir little","demar derozan,dejounte murray,lonnie walker iv,keldon johnson,devin vassell,rudy gay,jakob poeltl,tre jones,trey lyles"
2021-01-20,23.75,0,3.0,11.0,0.273,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,6.0,-5.0,0.273,0.273,0.636,0.0,0.0,4.9,2.1,21.0,4.0,0.0,8.3,20.6,62.0,116.0,-6.6,"stephen curry,andrew wiggins,kelly oubre jr.,draymond green,james wiseman,kent bazemore,eric paschall,kevon looney,damion lee,jordan poole,mychal mulder","dejounte murray,keldon johnson,lonnie walker iv,demar derozan,devin vassell,jakob poeltl,rudy gay,trey lyles,tre jones"
2021-01-22,36.65,1,5.0,12.0,0.417,1.0,4.0,0.25,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,13.0,14.0,0.505,0.458,0.333,0.167,0.0,5.6,2.9,7.6,1.3,0.0,7.2,16.6,102.0,127.0,-6.3,"tim hardaway jr.,luka doncic,kristaps porzingis,jalen brunson,josh green,james johnson,wes iwundu,trey burke,willie cauley-stein","demar derozan,keldon johnson,lonnie walker iv,dejounte murray,rudy gay,devin vassell,jakob poeltl,tre jones"
2021-01-24,20.78,1,8.0,14.0,0.571,4.0,8.0,0.5,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,21.0,29.0,0.727,0.714,0.571,0.071,5.4,13.6,9.8,23.5,2.3,0.0,6.5,32.8,135.0,103.0,14.3,"jerome robinson,bradley beal,russell westbrook,robin lopez,garrison mathews,cassius winston,alex len,anthony gill,jordan bell","dejounte murray,lonnie walker iv,keldon johnson,demar derozan,devin vassell,rudy gay,jakob poeltl,tre jones,keita bates-diop,trey lyles,luka samanic"
2021-01-27,27.38,1,6.0,11.0,0.545,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,12.0,15.0,0.545,0.545,0.364,0.0,0.0,3.5,2.1,9.9,3.6,0.0,21.4,22.7,91.0,108.0,-3.2,"marcus smart,jaylen brown,jayson tatum,kemba walker,daniel theis,tristan thompson,robert williams,javonte green,grant williams,aaron nesmith,carsen edwards","dejounte murray,demar derozan,keldon johnson,lonnie walker iv,jakob poeltl,rudy gay,devin vassell"
2021-01-29,27.65,1,4.0,9.0,0.444,4.0,8.0,0.5,5.0,5.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,17.0,9.0,0.759,0.667,0.889,0.556,0.0,8.9,4.5,4.7,5.5,0.0,0.0,18.6,157.0,108.0,9.7,"nikola jokic,jamal murray,gary harris,will barton,monte morris,jamychal green,michael porter jr.,facundo campazzo,isaiah hartenstein,r.j. hampton,vlatko cancar,zeke nnaji","demar derozan,keldon johnson,dejounte murray,lonnie walker iv,jakob poeltl,devin vassell,rudy gay,keita bates-diop,tre jones,quinndary weatherspoon"
2021-01-30,19.65,1,3.0,9.0,0.333,2.0,6.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,0.0,10.0,-5.0,0.506,0.444,0.667,0.222,0.0,12.2,5.9,30.9,2.5,0.0,16.8,27.0,99.0,130.0,-2.6,"dillon brooks,ja morant,brandon clarke,xavier tillman sr.,kyle anderson,de'anthony melton,gorgui dieng,tyus jones,desmond bane,john konchar","dejounte murray,lonnie walker iv,demar derozan,keldon johnson,rudy gay,derrick white,jakob poeltl,trey lyles,devin vassell,drew eubanks,tre jones,quinndary weatherspoon,keita bates-diop"
2021-02-01,23.22,1,4.0,9.0,0.444,3.0,5.0,0.6,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,11.0,1.0,0.611,0.611,0.556,0.0,0.0,9.8,4.4,7.2,2.1,0.0,10.0,18.3,101.0,135.0,-2.4,"kyle anderson,xavier tillman sr.,dillon brooks,brandon clarke,ja morant,tyus jones,de'anthony melton,desmond bane,gorgui dieng,john konchar","keldon johnson,demar derozan,dejounte murray,lonnie walker iv,derrick white,jakob poeltl,rudy gay,devin vassell,drew eubanks,trey lyles,keita bates-diop,quinndary weatherspoon"
2021-02-03,26.55,1,3.0,8.0,0.375,1.0,6.0,0.167,1.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,8.0,19.0,0.474,0.438,0.75,0.125,0.0,15.4,7.7,4.8,0.0,0.0,0.0,13.4,98.0,112.0,-7.1,"naz reid,malik beasley,anthony edwards,d'angelo russell,josh okogie,ricky rubio,jaden mcdaniels,jaylen nowell,jarred vanderbilt,jake layman","demar derozan,jakob poeltl,dejounte murray,lonnie walker iv,keldon johnson,derrick white,devin vassell,trey lyles,drew eubanks"
2021-02-06,29.03,0,3.0,10.0,0.3,1.0,6.0,0.167,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,9.0,-4.0,0.414,0.35,0.6,0.2,3.5,7.7,5.5,10.3,1.6,0.0,0.0,15.9,96.0,106.0,-5.4,"john wall,victor oladipo,demarcus cousins,p.j. tucker,jae'sean tate,eric gordon,danuel house jr.,david nwaba,sterling brown","demar derozan,dejounte murray,derrick white,jakob poeltl,keldon johnson,rudy gay,drew eubanks,devin vassell"
2021-02-08,28.5,1,3.0,10.0,0.3,3.0,9.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,9.0,-5.0,0.45,0.45,0.9,0.0,3.2,4.0,3.5,14.9,1.6,0.0,0.0,14.7,105.0,102.0,-2.7,"andrew wiggins,stephen curry,kelly oubre jr.,draymond green,juan toscano-anderson,damion lee,kent bazemore,eric paschall,mychal mulder","dejounte murray,demar derozan,jakob poeltl,keldon johnson,derrick white,rudy gay,devin vassell,drew eubanks"
2021-02-09,23.18,1,4.0,9.0,0.444,3.0,5.0,0.6,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,13.0,-9.0,0.658,0.611,0.556,0.222,0.0,0.0,0.0,17.5,2.1,0.0,9.2,20.6,119.0,118.0,5.8,"andrew wiggins,kelly oubre jr.,stephen curry,draymond green,juan toscano-anderson,damion lee,eric paschall,kent bazemore,mychal mulder","keldon johnson,demar derozan,dejounte murray,devin vassell,jakob poeltl,trey lyles,rudy gay,lonnie walker iv,drew eubanks,keita bates-diop,quinndary weatherspoon"
2021-02-12,20.75,0,4.0,6.0,0.667,3.0,5.0,0.6,1.0,1.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,0.0,12.0,8.0,0.932,0.917,0.833,0.167,0.0,14.5,8.0,25.9,0.0,0.0,23.7,17.7,142.0,116.0,7.4,"kevin huerter,trae young,john collins,clint capela,cam reddish,skylar mays,danilo gallinari,onyeka okongwu,brandon goodwin,bruno fernando,nathan knight","jakob poeltl,keldon johnson,demar derozan,dejounte murray,derrick white,drew eubanks,lonnie walker iv,rudy gay,devin vassell,quinndary weatherspoon,trey lyles,keita bates-diop"
2021-02-14,25.85,0,4.0,11.0,0.364,2.0,8.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,10.0,1.0,0.455,0.455,0.727,0.0,0.0,8.3,4.0,9.2,1.8,0.0,21.4,22.9,75.0,113.0,-11.4,"terry rozier,lamelo ball,miles bridges,cody zeller,devonte' graham,malik monk,bismack biyombo,jalen mcdaniels","jakob poeltl,demar derozan,dejounte murray,keldon johnson,derrick white,lonnie walker iv,rudy gay,devin vassell,drew eubanks"
2021-02-24,27.7,0,6.0,12.0,0.5,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,15.0,-1.0,0.625,0.625,0.667,0.0,0.0,0.0,0.0,17.6,1.8,0.0,20.0,24.8,99.0,111.0,-1.8,"shai gilgeous-alexander,theo maledon,luguentz dort,darius bazley,al horford,kenrich williams,mike muscala,isaiah roby,justin jackson,hamidou diallo","jakob poeltl,lonnie walker iv,dejounte murray,trey lyles,luka samanic,keita bates-diop,tre jones,drew eubanks"
2021-02-27,29.83,1,4.0,10.0,0.4,4.0,10.0,0.4,1.0,3.0,0.333,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,13.0,0.0,0.574,0.6,1.0,0.3,0.0,3.4,1.8,9.3,0.0,0.0,15.0,20.2,98.0,129.0,-5.0,"brandon ingram,lonzo ball,zion williamson,steven adams,josh hart,willy hernangomez,nickeil alexander-walker","demar derozan,dejounte murray,trey lyles,lonnie walker iv,jakob poeltl,luka samanic,keita bates-diop"
2021-03-01,31.47,1,5.0,10.0,0.5,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,14.0,0.0,0.7,0.7,0.8,0.0,0.0,0.0,0.0,23.7,0.0,0.0,9.1,16.5,132.0,132.0,3.1,"james harden,kyrie irving,joe harris,deandre jordan,bruce brown,landry shamet,nic claxton,tyler cook","demar derozan,lonnie walker iv,dejounte murray,jakob poeltl,trey lyles,keita bates-diop,luka samanic,drew eubanks,tre jones"
2021-03-02,21.38,1,5.0,10.0,0.5,4.0,8.0,0.5,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,14.0,17.0,0.7,0.7,0.8,0.0,16.4,5.0,10.4,7.1,0.0,0.0,9.1,23.2,131.0,111.0,3.9,"nerlens noel,julius randle,rj barrett,frank ntilikina,reggie bullock,immanuel quickley,obi toppin,alec burks,kevin knox,theo pinson","dejounte murray,lonnie walker iv,trey lyles,jakob poeltl,demar derozan,luka samanic,drew eubanks,keita bates-diop,keldon johnson,tre jones"
2021-03-04,26.78,1,4.0,12.0,0.333,3.0,10.0,0.3,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,13.0,7.0,0.505,0.458,0.833,0.167,0.0,7.3,3.9,5.5,1.8,0.0,7.2,22.8,95.0,108.0,-5.0,"shai gilgeous-alexander,luguentz dort,darius bazley,theo maledon,isaiah roby,kenrich williams,mike muscala,ty jerome,justin jackson","demar derozan,dejounte murray,trey lyles,lonnie walker iv,jakob poeltl,keldon johnson,luka samanic,keita bates-diop,drew eubanks"
2021-03-10,28.82,0,5.0,9.0,0.556,3.0,7.0,0.429,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,14.0,-4.0,0.742,0.722,0.778,0.111,3.8,9.0,6.2,5.6,1.8,0.0,17.5,18.9,120.0,129.0,1.7,"luka doncic,kristaps porzingis,maxi kleber,josh richardson,dorian finney-smith,tim hardaway jr.,jalen brunson,willie cauley-stein,trey burke,james johnson","demar derozan,dejounte murray,jakob poeltl,derrick white,keldon johnson,rudy gay,lonnie walker iv,trey lyles,drew eubanks,keita bates-diop,tre jones,luka samanic"
2021-03-12,23.42,1,4.0,10.0,0.4,2.0,8.0,0.25,3.0,4.0,0.75,0.0,3.0,3.0,2.0,4.0,0.0,0.0,1.0,13.0,30.0,0.553,0.5,0.8,0.4,0.0,13.1,6.8,12.9,8.7,0.0,0.0,22.8,117.0,68.0,12.0,"nikola vucevic,chuma okeke,michael carter-williams,chasson randle,gary clark,khem birch,mo bamba","dejounte murray,jakob poeltl,derrick white,keldon johnson,trey lyles,lonnie walker iv,rudy gay,drew eubanks,devin vassell,luka samanic,tre jones,keita bates-diop"
2021-03-14,13.9,0,0.0,5.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,-11.0,0.17,0.0,0.8,0.4,0.0,0.0,0.0,9.6,0.0,0.0,25.4,25.3,34.0,148.0,-28.1,"tobias harris,seth curry,ben simmons,danny green,tony bradley,matisse thybulle,furkan korkmaz,shake milton,tyrese maxey,isaiah joe,paul reed","derrick white,jakob poeltl,keldon johnson,dejounte murray,trey lyles,drew eubanks,tre jones,luka samanic,lonnie walker iv,rudy gay,devin vassell,quinndary weatherspoon,keita bates-diop"
2021-03-15,22.57,0,5.0,9.0,0.556,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,14.0,0.778,0.778,0.889,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,18.0,164.0,114.0,9.3,"delon wright,jerami grant,saddiq bey,rodney mcgruder,mason plumlee,josh jackson,isaiah stewart,saben lee,frank jackson,sekou doumbouya,deividas sirvydis","dejounte murray,keldon johnson,lonnie walker iv,jakob poeltl,derrick white,drew eubanks,devin vassell,rudy gay,tre jones,luka samanic,quinndary weatherspoon"
2021-03-17,31.28,0,4.0,11.0,0.364,3.0,8.0,0.375,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,14.0,21.0,0.568,0.5,0.727,0.273,3.1,3.3,3.2,14.4,3.2,0.0,7.5,18.4,121.0,105.0,4.8,"zach lavine,lauri markkanen,patrick williams,thaddeus young,coby white,wendell carter jr.,otto porter jr.,ryan arcidiacono,denzel valentine","dejounte murray,jakob poeltl,derrick white,keldon johnson,lonnie walker iv,devin vassell,rudy gay,drew eubanks"
2021-03-19,25.27,0,3.0,10.0,0.3,3.0,8.0,0.375,3.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,12.0,3.0,0.53,0.45,0.8,0.3,0.0,0.0,0.0,10.8,2.0,0.0,15.0,21.9,106.0,119.0,-1.5,"collin sexton,darius garland,larry nance jr.,jarrett allen,isaac okoro,dean wade,cedi osman,lamar stevens,brodric thomas,dylan windler","keldon johnson,dejounte murray,demar derozan,derrick white,jakob poeltl,rudy gay,drew eubanks,devin vassell,tre jones"
2021-03-22,32.2,1,3.0,8.0,0.375,3.0,7.0,0.429,1.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.592,0.563,0.875,0.125,0.0,11.2,5.7,9.5,1.6,0.0,0.0,12.6,125.0,111.0,2.1,"p.j. washington,terry rozier,gordon hayward,devonte' graham,bismack biyombo,miles bridges,malik monk,cody martin","derrick white,demar derozan,dejounte murray,keldon johnson,jakob poeltl,rudy gay,devin vassell,lonnie walker iv,drew eubanks"
2021-03-24,23.42,1,7.0,12.0,0.583,3.0,7.0,0.429,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,17.0,-12.0,0.708,0.708,0.583,0.0,0.0,5.3,2.4,24.9,0.0,0.0,7.7,24.4,127.0,137.0,4.4,"paul george,ivica zubac,kawhi leonard,marcus morris,reggie jackson,nicolas batum,terance mann,luke kennard,amir coffey,daniel oturu","demar derozan,dejounte murray,keldon johnson,derrick white,jakob poeltl,drew eubanks,devin vassell,luka samanic,trey lyles,tre jones,quinndary weatherspoon"
2021-03-25,27.08,1,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,-9.0,0.3,0.3,0.8,0.0,0.0,3.5,1.8,17.0,0.0,0.0,0.0,9.4,79.0,119.0,-7.1,"reggie jackson,paul george,terance mann,ivica zubac,nicolas batum,luke kennard,amir coffey","derrick white,dejounte murray,jakob poeltl,demar derozan,keldon johnson,devin vassell,rudy gay,luka samanic,drew eubanks"
2021-03-27,29.43,1,5.0,11.0,0.455,4.0,9.0,0.444,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,16.0,1.0,0.673,0.636,0.818,0.182,0.0,0.0,0.0,8.6,0.0,0.0,7.8,19.6,120.0,112.0,-0.8,"nikola vucevic,zach lavine,lauri markkanen,patrick williams,coby white,garrett temple,thaddeus young,troy brown jr.,javonte green,denzel valentine,ryan arcidiacono,devon dotson","derrick white,demar derozan,jakob poeltl,dejounte murray,keldon johnson,rudy gay,drew eubanks,luka samanic,devin vassell,tre jones,quinndary weatherspoon"
2021-03-29,25.85,1,3.0,9.0,0.333,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,-5.0,0.5,0.5,0.889,0.0,0.0,0.0,0.0,4.5,0.0,0.0,10.0,16.9,97.0,144.0,-8.8,"de'aaron fox,buddy hield,richaun holmes,harrison barnes,tyrese haliburton,delon wright,terence davis,maurice harkless,chimezie metu,chris silva,kyle guy,justin james,daquan jeffries,robert woodard ii","dejounte murray,demar derozan,jakob poeltl,derrick white,keldon johnson,rudy gay,devin vassell,drew eubanks,luka samanic,tre jones,quinndary weatherspoon"
2021-03-31,25.6,1,3.0,7.0,0.429,3.0,6.0,0.5,3.0,3.0,1.0,1.0,1.0,2.0,5.0,2.0,0.0,0.0,1.0,12.0,2.0,0.721,0.643,0.857,0.429,4.1,3.7,3.9,25.1,3.8,0.0,0.0,13.3,171.0,107.0,12.4,"harrison barnes,de'aaron fox,richaun holmes,buddy hield,tyrese haliburton,delon wright,terence davis,chimezie metu,maurice harkless,kyle guy,justin james,chris silva,robert woodard ii","demar derozan,dejounte murray,derrick white,jakob poeltl,keldon johnson,rudy gay,devin vassell,drew eubanks,gorgui dieng,tre jones,luka samanic,quinndary weatherspoon"
2021-04-01,31.77,1,1.0,10.0,0.1,1.0,8.0,0.125,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,-1.0,0.15,0.15,0.8,0.0,6.3,0.0,3.5,11.6,0.0,0.0,0.0,14.4,63.0,128.0,-13.9,"bogdan bogdanovic,clint capela,trae young,danilo gallinari,kevin huerter,onyeka okongwu,brandon goodwin","demar derozan,derrick white,jakob poeltl,dejounte murray,keldon johnson,rudy gay,drew eubanks,devin vassell"
2021-04-03,33.88,1,6.0,13.0,0.462,4.0,9.0,0.444,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,16.0,-17.0,0.615,0.615,0.692,0.0,0.0,8.0,3.5,8.1,0.0,0.0,7.1,16.8,128.0,136.0,-2.0,"myles turner,caris levert,edmond sumner,justin holiday,doug mcdermott,t.j. mcconnell,aaron holiday,goga bitadze,kelan martin","jakob poeltl,demar derozan,derrick white,dejounte murray,keldon johnson,rudy gay,devin vassell,luka samanic"
2021-04-05,23.32,1,1.0,4.0,0.25,1.0,3.0,0.333,1.0,2.0,0.5,1.0,3.0,4.0,2.0,0.0,1.0,0.0,2.0,4.0,-18.0,0.41,0.375,0.75,0.5,4.3,16.7,9.7,12.5,0.0,4.0,0.0,9.4,105.0,131.0,-5.2,"dean wade,collin sexton,darius garland,isaac okoro,kevin love,isaiah hartenstein,taurean prince,matthew dellavedova,lamar stevens,brodric thomas","derrick white,keldon johnson,jakob poeltl,demar derozan,luka samanic,rudy gay,devin vassell,drew eubanks,tre jones,gorgui dieng,quinndary weatherspoon"
2021-04-07,25.05,0,4.0,8.0,0.5,2.0,6.0,0.333,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,12.0,-29.0,0.676,0.625,0.75,0.25,0.0,0.0,0.0,6.3,0.0,0.0,0.0,14.9,138.0,114.0,0.1,"michael porter jr.,will barton,nikola jokic,facundo campazzo,aaron gordon,pj dozier,jamychal green,monte morris,javale mcgee,bol bol,vlatko cancar,zeke nnaji,gary clark","demar derozan,derrick white,dejounte murray,jakob poeltl,keldon johnson,rudy gay,devin vassell,drew eubanks,gorgui dieng,quinndary weatherspoon,tre jones,luka samanic"
2021-04-09,22.38,0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,-12.0,0.167,0.167,0.5,0.0,0.0,6.0,2.6,15.7,0.0,0.0,14.3,13.1,53.0,130.0,-15.3,"michael porter jr.,nikola jokic,will barton,aaron gordon,facundo campazzo,monte morris,pj dozier,javale mcgee","demar derozan,jakob poeltl,derrick white,dejounte murray,keldon johnson,rudy gay,lonnie walker iv,drew eubanks,devin vassell"
