date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-26,18.17,0,5.0,8.0,0.625,2.0,4.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,14.0,2.0,0.788,0.75,0.5,0.25,0.0,9.1,5.2,9.9,5.1,0.0,0.0,20.5,156.0,99.0,11.8,"gordon hayward,devonte' graham,terry rozier,bismack biyombo,p.j. washington,miles bridges,cody martin,caleb martin,lamelo ball,jalen mcdaniels","luguentz dort,shai gilgeous-alexander,darius bazley,al horford,george hill,theo maledon,hamidou diallo,kenrich williams,aleksej pokusevski"
2020-12-28,18.8,1,3.0,9.0,0.333,3.0,7.0,0.429,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,9.0,-8.0,0.5,0.5,0.778,0.0,6.1,6.7,6.4,7.9,0.0,5.1,10.0,23.3,97.0,115.0,-1.3,"rudy gobert,donovan mitchell,bojan bogdanovic,royce o'neale,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,miye oni","shai gilgeous-alexander,darius bazley,luguentz dort,al horford,george hill,hamidou diallo,theo maledon,aleksej pokusevski,kenrich williams"
2020-12-29,19.9,1,5.0,6.0,0.833,3.0,4.0,0.75,1.0,1.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,3.0,14.0,2.0,1.087,1.083,0.667,0.167,0.0,24.6,13.0,15.6,0.0,0.0,13.4,15.6,181.0,116.0,12.0,"nikola vucevic,evan fournier,markelle fultz,aaron gordon,terrence ross,michael carter-williams,chuma okeke,cole anthony,khem birch","shai gilgeous-alexander,justin jackson,luguentz dort,darius bazley,isaiah roby,hamidou diallo,theo maledon,aleksej pokusevski,kenrich williams,josh hall"
2020-12-31,15.62,1,4.0,7.0,0.571,2.0,5.0,0.4,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,-10.0,0.714,0.714,0.714,0.0,0.0,13.1,6.3,17.4,0.0,0.0,0.0,20.4,129.0,121.0,8.8,"lonzo ball,steven adams,brandon ingram,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.","shai gilgeous-alexander,darius bazley,al horford,george hill,luguentz dort,theo maledon,aleksej pokusevski,isaiah roby,hamidou diallo,josh hall,kenrich williams,moses brown"
2021-01-02,20.23,0,2.0,6.0,0.333,1.0,4.0,0.25,3.0,3.0,1.0,0.0,6.0,6.0,0.0,0.0,1.0,2.0,1.0,8.0,11.0,0.546,0.417,0.667,0.5,0.0,23.3,13.3,0.0,0.0,3.4,21.5,21.0,85.0,97.0,-6.7,"nikola vucevic,markelle fultz,michael carter-williams,aaron gordon,terrence ross,gary clark,cole anthony,khem birch","shai gilgeous-alexander,darius bazley,luguentz dort,al horford,george hill,theo maledon,hamidou diallo,kenrich williams,aleksej pokusevski"
2021-01-04,13.7,0,1.0,7.0,0.143,1.0,7.0,0.143,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,-17.0,0.269,0.214,1.0,0.143,0.0,19.5,8.2,0.0,0.0,0.0,0.0,24.6,55.0,124.0,-15.2,"duncan robinson,tyler herro,bam adebayo,kelly olynyk,jimmy butler,goran dragic,precious achiuwa,andre iguodala,kendrick nunn,kz okpala,maurice harkless,chris silva","shai gilgeous-alexander,darius bazley,luguentz dort,george hill,al horford,isaiah roby,justin jackson,theo maledon,hamidou diallo,kenrich williams,josh hall,moses brown"
2021-01-06,20.8,0,6.0,9.0,0.667,5.0,7.0,0.714,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,18.0,-3.0,0.953,0.944,0.778,0.111,0.0,16.1,7.7,8.8,0.0,3.4,0.0,20.2,165.0,109.0,17.3,"brandon ingram,lonzo ball,steven adams,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes","shai gilgeous-alexander,darius bazley,luguentz dort,george hill,al horford,hamidou diallo,theo maledon,kenrich williams,isaiah roby"
2021-01-08,14.88,0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,5.0,13.0,0.388,0.417,0.667,0.167,0.0,20.8,11.6,0.0,0.0,4.7,0.0,19.4,81.0,90.0,-2.8,"rj barrett,julius randle,elfrid payton,mitchell robinson,reggie bullock,austin rivers,kevin knox,immanuel quickley,nerlens noel","shai gilgeous-alexander,luguentz dort,al horford,george hill,darius bazley,hamidou diallo,theo maledon,aleksej pokusevski,kenrich williams,isaiah roby"
2021-01-12,16.57,1,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,-9.0,0.375,0.375,0.75,0.0,0.0,11.1,5.9,8.8,0.0,0.0,0.0,10.7,85.0,115.0,-7.5,"keldon johnson,lonnie walker iv,dejounte murray,trey lyles,patty mills,devin vassell,rudy gay,jakob poeltl","shai gilgeous-alexander,darius bazley,al horford,george hill,luguentz dort,hamidou diallo,aleksej pokusevski,theo maledon,isaiah roby,justin jackson,kenrich williams"
2021-01-13,18.07,1,3.0,9.0,0.333,1.0,6.0,0.167,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,7.0,-15.0,0.389,0.389,0.667,0.0,5.7,17.7,11.6,9.2,0.0,0.0,10.0,25.2,79.0,134.0,-13.3,"dennis schroder,lebron james,anthony davis,kentavious caldwell-pope,montrezl harrell,markieff morris,alex caruso,kyle kuzma,talen horton-tucker,alfonzo mckinnie","shai gilgeous-alexander,luguentz dort,darius bazley,isaiah roby,george hill,theo maledon,aleksej pokusevski,hamidou diallo,kenrich williams,josh hall,moses brown,justin jackson"
