date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-26,28.55,0,1.0,5.0,0.2,0.0,2.0,0.0,1.0,1.0,1.0,0.0,13.0,13.0,3.0,0.0,1.0,1.0,0.0,3.0,3.0,0.276,0.2,0.4,0.2,0.0,37.7,21.6,13.2,0.0,2.8,15.5,9.5,72.0,99.0,-5.2,"gordon hayward,devonte' graham,terry rozier,bismack biyombo,p.j. washington,miles bridges,cody martin,caleb martin,lamelo ball,jalen mcdaniels","luguentz dort,shai gilgeous-alexander,darius bazley,george hill,theo maledon,hamidou diallo,mike muscala,kenrich williams,aleksej pokusevski"
2020-12-28,29.2,1,4.0,10.0,0.4,3.0,7.0,0.429,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,0.0,1.0,1.0,11.0,7.0,0.55,0.55,0.7,0.0,0.0,21.6,10.3,19.7,1.7,0.0,9.1,16.5,112.0,112.0,2.8,"rudy gobert,donovan mitchell,bojan bogdanovic,royce o'neale,mike conley,jordan clarkson,joe ingles,derrick favors,georges niang,miye oni","shai gilgeous-alexander,darius bazley,luguentz dort,george hill,hamidou diallo,theo maledon,mike muscala,aleksej pokusevski,kenrich williams"
2020-12-31,24.22,1,7.0,9.0,0.778,3.0,5.0,0.6,0.0,0.0,0.0,1.0,5.0,6.0,3.0,0.0,0.0,0.0,1.0,17.0,-7.0,0.944,0.944,0.556,0.0,3.9,21.1,12.1,36.9,0.0,0.0,0.0,16.9,178.0,118.0,16.3,"lonzo ball,steven adams,brandon ingram,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes,kira lewis jr.","shai gilgeous-alexander,darius bazley,george hill,luguentz dort,theo maledon,aleksej pokusevski,isaiah roby,hamidou diallo,mike muscala,josh hall,kenrich williams,moses brown"
2021-01-02,27.77,0,5.0,12.0,0.417,2.0,7.0,0.286,0.0,0.0,0.0,1.0,6.0,7.0,4.0,0.0,1.0,1.0,2.0,12.0,-2.0,0.5,0.5,0.583,0.0,3.8,17.0,11.3,23.6,0.0,2.5,7.7,21.4,105.0,101.0,0.6,"nikola vucevic,markelle fultz,michael carter-williams,aaron gordon,terrence ross,gary clark,cole anthony,khem birch","shai gilgeous-alexander,darius bazley,luguentz dort,george hill,mike muscala,theo maledon,hamidou diallo,kenrich williams,aleksej pokusevski"
2021-01-04,21.23,0,1.0,6.0,0.167,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,-5.0,0.167,0.167,0.667,0.0,4.6,25.1,13.3,8.5,0.0,0.0,0.0,12.8,53.0,124.0,-13.5,"duncan robinson,tyler herro,bam adebayo,kelly olynyk,jimmy butler,goran dragic,precious achiuwa,andre iguodala,kendrick nunn,kz okpala,maurice harkless,chris silva","shai gilgeous-alexander,darius bazley,luguentz dort,george hill,isaiah roby,justin jackson,theo maledon,hamidou diallo,mike muscala,kenrich williams,josh hall,moses brown"
2021-01-06,27.2,0,3.0,11.0,0.273,2.0,7.0,0.286,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,3.0,1.0,3.0,8.0,4.0,0.364,0.364,0.636,0.0,3.8,24.6,13.7,5.1,0.0,7.9,8.3,19.6,72.0,104.0,-7.1,"brandon ingram,lonzo ball,steven adams,zion williamson,josh hart,nickeil alexander-walker,jaxson hayes","shai gilgeous-alexander,darius bazley,luguentz dort,george hill,mike muscala,hamidou diallo,theo maledon,kenrich williams,isaiah roby"
2021-01-08,28.97,0,6.0,15.0,0.4,3.0,7.0,0.429,0.0,2.0,0.0,1.0,7.0,8.0,0.0,1.0,1.0,2.0,1.0,15.0,-2.0,0.472,0.5,0.467,0.133,3.4,18.7,11.9,0.0,1.7,2.4,11.2,27.6,86.0,89.0,0.0,"rj barrett,julius randle,elfrid payton,mitchell robinson,reggie bullock,austin rivers,kevin knox,immanuel quickley,nerlens noel","shai gilgeous-alexander,luguentz dort,george hill,darius bazley,hamidou diallo,theo maledon,aleksej pokusevski,mike muscala,kenrich williams,isaiah roby"
2021-01-10,27.78,0,9.0,17.0,0.529,3.0,7.0,0.429,1.0,1.0,1.0,0.0,6.0,6.0,3.0,1.0,1.0,2.0,4.0,22.0,3.0,0.631,0.618,0.412,0.059,0.0,28.0,13.5,15.5,1.7,3.4,10.3,31.2,112.0,110.0,1.6,"kevin durant,caris levert,jarrett allen,joe harris,jeff green,taurean prince,timothe luwawu-cabarrot,landry shamet,deandre jordan,bruce brown","shai gilgeous-alexander,darius bazley,george hill,luguentz dort,hamidou diallo,isaiah roby,theo maledon,aleksej pokusevski,kenrich williams,moses brown"
2021-01-12,28.93,1,5.0,13.0,0.385,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,1.0,10.0,6.0,0.385,0.385,0.308,0.0,0.0,22.3,11.8,18.0,0.0,0.0,0.0,19.8,87.0,113.0,-3.9,"keldon johnson,lonnie walker iv,dejounte murray,trey lyles,patty mills,devin vassell,rudy gay,jakob poeltl","shai gilgeous-alexander,darius bazley,george hill,luguentz dort,hamidou diallo,mike muscala,aleksej pokusevski,theo maledon,isaiah roby,justin jackson,kenrich williams"
2021-01-27,29.8,0,8.0,12.0,0.667,5.0,5.0,1.0,0.0,0.0,0.0,1.0,10.0,11.0,2.0,3.0,1.0,0.0,1.0,21.0,14.0,0.875,0.875,0.417,0.0,3.6,31.0,18.3,12.8,4.8,3.1,0.0,18.4,167.0,84.0,20.7,"deandre ayton,chris paul,jae crowder,cameron johnson,mikal bridges,jevon carter,frank kaminsky,jalen smith","shai gilgeous-alexander,luguentz dort,darius bazley,theo maledon,aleksej pokusevski,hamidou diallo,kenrich williams,mike muscala,isaiah roby,justin jackson"
2021-01-29,23.63,1,6.0,15.0,0.4,4.0,6.0,0.667,0.0,0.0,0.0,2.0,4.0,6.0,4.0,1.0,2.0,0.0,1.0,16.0,-2.0,0.533,0.533,0.4,0.0,8.8,20.3,14.2,29.2,1.9,7.4,0.0,27.0,121.0,132.0,7.3,"kyrie irving,joe harris,james harden,bruce brown,deandre jordan,jeff green,timothe luwawu-cabarrot,reggie perry,landry shamet,chris chiozza","theo maledon,luguentz dort,darius bazley,shai gilgeous-alexander,hamidou diallo,aleksej pokusevski,mike muscala,isaiah roby,kenrich williams,josh hall,moses brown,justin jackson"
2021-02-01,25.3,1,5.0,13.0,0.385,2.0,3.0,0.667,0.0,0.0,0.0,2.0,5.0,7.0,3.0,2.0,1.0,1.0,1.0,12.0,-18.0,0.462,0.462,0.231,0.0,7.9,20.2,14.0,19.3,3.6,3.8,7.1,23.4,100.0,123.0,-0.8,"p.j. tucker,christian wood,victor oladipo,jae'sean tate,john wall,danuel house jr.,eric gordon,demarcus cousins,sterling brown,mason jones","darius bazley,shai gilgeous-alexander,theo maledon,luguentz dort,kenrich williams,aleksej pokusevski,hamidou diallo,mike muscala,isaiah roby,justin jackson,josh hall,moses brown"
2021-02-03,29.02,1,6.0,10.0,0.6,2.0,4.0,0.5,3.0,3.0,1.0,0.0,6.0,6.0,3.0,2.0,0.0,7.0,3.0,17.0,-2.0,0.751,0.7,0.4,0.3,0.0,19.5,10.8,19.0,3.1,0.0,38.2,26.3,91.0,81.0,-0.6,"victor oladipo,jae'sean tate,eric gordon,p.j. tucker,christian wood,demarcus cousins,danuel house jr.,sterling brown,mason jones","theo maledon,darius bazley,hamidou diallo,luguentz dort,justin jackson,kenrich williams,isaiah roby,mike muscala"
2021-02-05,29.05,1,10.0,19.0,0.526,3.0,6.0,0.5,3.0,3.0,1.0,2.0,5.0,7.0,8.0,2.0,3.0,2.0,2.0,26.0,20.0,0.64,0.605,0.316,0.158,8.1,18.0,13.3,58.8,3.3,9.2,9.0,33.7,129.0,98.0,19.2,"anthony edwards,malik beasley,d'angelo russell,naz reid,josh okogie,jaden mcdaniels,ricky rubio,jarred vanderbilt,jake layman,jaylen nowell","hamidou diallo,kenrich williams,darius bazley,isaiah roby,justin jackson,mike muscala"
2021-02-08,34.12,0,6.0,20.0,0.3,2.0,8.0,0.25,0.0,0.0,0.0,1.0,4.0,5.0,3.0,1.0,1.0,2.0,4.0,14.0,-13.0,0.35,0.35,0.4,0.0,2.4,12.4,6.8,13.8,1.4,2.7,9.1,26.2,75.0,106.0,-5.5,"lebron james,dennis schroder,kentavious caldwell-pope,markieff morris,montrezl harrell,talen horton-tucker,wesley matthews,kyle kuzma","darius bazley,shai gilgeous-alexander,hamidou diallo,luguentz dort,kenrich williams,justin jackson"
2021-02-10,33.92,0,11.0,18.0,0.611,1.0,4.0,0.25,2.0,2.0,1.0,2.0,6.0,8.0,8.0,4.0,1.0,2.0,3.0,25.0,5.0,0.662,0.639,0.222,0.111,7.1,20.8,14.0,41.9,5.7,2.9,9.6,27.4,128.0,95.0,17.4,"lebron james,kyle kuzma,dennis schroder,kentavious caldwell-pope,montrezl harrell,wesley matthews,markieff morris,talen horton-tucker","darius bazley,luguentz dort,kenrich williams,hamidou diallo,mike muscala,justin jackson"
2021-02-12,28.15,0,6.0,15.0,0.4,3.0,8.0,0.375,1.0,2.0,0.5,1.0,4.0,5.0,4.0,0.0,0.0,0.0,1.0,16.0,-6.0,0.504,0.5,0.533,0.133,3.7,15.2,9.4,26.5,0.0,0.0,0.0,24.7,115.0,107.0,5.6,"jamal murray,nikola jokic,will barton,michael porter jr.,r.j. hampton,monte morris,jamychal green,facundo campazzo,zeke nnaji","hamidou diallo,kenrich williams,luguentz dort,darius bazley,justin jackson,mike muscala,isaiah roby"
2021-02-14,30.35,1,8.0,16.0,0.5,2.0,7.0,0.286,2.0,2.0,1.0,0.0,7.0,7.0,9.0,0.0,0.0,0.0,0.0,20.0,10.0,0.592,0.563,0.438,0.125,0.0,22.6,11.5,44.0,0.0,0.0,0.0,23.2,141.0,110.0,11.5,"giannis antetokounmpo,khris middleton,bryn forbes,donte divincenzo,brook lopez,bobby portis,pat connaughton,torrey craig","luguentz dort,kenrich williams,justin jackson,darius bazley,hamidou diallo,mike muscala,isaiah roby"
2021-02-16,29.1,1,5.0,11.0,0.455,1.0,4.0,0.25,1.0,2.0,0.5,0.0,5.0,5.0,3.0,0.0,0.0,2.0,3.0,12.0,-21.0,0.505,0.5,0.364,0.182,0.0,15.3,8.2,17.2,0.0,0.0,14.4,21.2,91.0,121.0,-7.2,"gary trent jr.,damian lillard,robert covington,derrick jones jr.,anfernee simons,nassir little,cj elleby","luguentz dort,darius bazley,theo maledon,kenrich williams,hamidou diallo,isaiah roby,mike muscala,justin jackson"
2021-02-19,29.37,0,4.0,14.0,0.286,2.0,9.0,0.222,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,1.0,1.0,1.0,10.0,-19.0,0.357,0.357,0.643,0.0,0.0,16.7,7.6,26.7,0.0,3.1,6.7,23.5,76.0,104.0,-1.1,"khris middleton,giannis antetokounmpo,donte divincenzo,brook lopez,pat connaughton,bryn forbes,bobby portis,thanasis antetokounmpo","shai gilgeous-alexander,luguentz dort,theo maledon,darius bazley,hamidou diallo,isaiah roby,kenrich williams,mike muscala,justin jackson"
2021-02-21,27.67,0,7.0,12.0,0.583,2.0,4.0,0.5,0.0,0.0,0.0,0.0,8.0,8.0,1.0,2.0,0.0,0.0,2.0,16.0,-2.0,0.667,0.667,0.333,0.0,0.0,30.2,17.6,5.6,3.7,0.0,0.0,20.1,131.0,98.0,4.9,"jarrett allen,collin sexton,isaac okoro,darius garland,cedi osman,dylan windler,lamar stevens,javale mcgee","shai gilgeous-alexander,theo maledon,luguentz dort,darius bazley,hamidou diallo,isaiah roby,kenrich williams,mike muscala"
2021-02-24,29.65,1,7.0,16.0,0.438,2.0,6.0,0.333,0.0,0.0,0.0,3.0,4.0,7.0,7.0,0.0,0.0,0.0,1.0,16.0,10.0,0.5,0.5,0.375,0.0,10.1,13.5,11.8,44.1,0.0,0.0,0.0,23.4,128.0,105.0,7.3,"jakob poeltl,lonnie walker iv,dejounte murray,trey lyles,luka samanic,patty mills,keita bates-diop,tre jones,drew eubanks","shai gilgeous-alexander,theo maledon,luguentz dort,darius bazley,kenrich williams,mike muscala,isaiah roby,justin jackson,hamidou diallo"
2021-02-27,24.9,1,3.0,11.0,0.273,0.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,1.0,2.0,1.0,2.0,6.0,-33.0,0.273,0.273,0.455,0.0,7.7,16.1,11.2,12.4,1.9,6.6,8.3,21.3,67.0,120.0,-8.9,"jamal murray,nikola jokic,monte morris,michael porter jr.,will barton,facundo campazzo,zeke nnaji,pj dozier,isaiah hartenstein,r.j. hampton,vlatko cancar,bol bol","darius bazley,theo maledon,shai gilgeous-alexander,luguentz dort,ty jerome,isaiah roby,kenrich williams,mike muscala,justin jackson"
2021-03-03,29.12,0,5.0,12.0,0.417,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,4.0,10.0,-20.0,0.417,0.417,0.25,0.0,6.1,7.5,6.7,7.9,0.0,7.7,7.7,19.9,85.0,93.0,-1.7,"josh richardson,dorian finney-smith,kristaps porzingis,jalen brunson,maxi kleber,tim hardaway jr.,trey burke,james johnson,dwight powell,wes iwundu","shai gilgeous-alexander,theo maledon,darius bazley,luguentz dort,ty jerome,isaiah roby,kenrich williams,mike muscala,justin jackson"
2021-03-11,27.68,1,8.0,15.0,0.533,4.0,5.0,0.8,1.0,1.0,1.0,1.0,8.0,9.0,2.0,1.0,2.0,0.0,3.0,21.0,9.0,0.68,0.667,0.333,0.067,3.7,30.8,17.0,12.8,1.9,7.2,0.0,24.6,149.0,107.0,13.5,"jalen brunson,dorian finney-smith,josh richardson,maxi kleber,willie cauley-stein,tim hardaway jr.,trey burke,james johnson,dwight powell,boban marjanovic,josh green","theo maledon,shai gilgeous-alexander,luguentz dort,aleksej pokusevski,ty jerome,isaiah roby,moses brown,kenrich williams"
2021-03-13,27.17,1,7.0,9.0,0.778,2.0,4.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,2.0,2.0,16.0,-12.0,0.889,0.889,0.444,0.0,4.6,15.4,10.5,0.0,0.0,3.2,18.2,18.8,128.0,123.0,3.2,"julius randle,reggie bullock,rj barrett,nerlens noel,frank ntilikina,immanuel quickley,alec burks,taj gibson,obi toppin,kevin knox,theo pinson","aleksej pokusevski,theo maledon,luguentz dort,isaiah roby,ty jerome,kenrich williams,moses brown,justin jackson"
2021-03-18,24.53,0,3.0,13.0,0.231,2.0,6.0,0.333,3.0,3.0,1.0,1.0,5.0,6.0,2.0,2.0,1.0,0.0,0.0,11.0,-21.0,0.384,0.308,0.462,0.231,3.6,29.6,13.3,13.9,4.0,3.6,0.0,25.7,92.0,109.0,4.0,"john collins,clint capela,trae young,kevin huerter,bogdan bogdanovic,danilo gallinari,nathan knight,onyeka okongwu,brandon goodwin,skylar mays,bruno fernando","shai gilgeous-alexander,aleksej pokusevski,isaiah roby,luguentz dort,ty jerome,kenrich williams,moses brown,theo maledon,svi mykhailiuk"
2021-03-24,25.4,1,6.0,11.0,0.545,1.0,5.0,0.2,0.0,0.0,0.0,3.0,5.0,8.0,6.0,1.0,1.0,0.0,0.0,13.0,-7.0,0.591,0.591,0.455,0.0,11.1,19.3,15.1,35.8,1.8,2.7,0.0,17.8,140.0,110.0,9.4,"ja morant,dillon brooks,jonas valanciunas,grayson allen,kyle anderson,brandon clarke,desmond bane,justise winslow,tyus jones,de'anthony melton","theo maledon,aleksej pokusevski,luguentz dort,isaiah roby,moses brown,ty jerome,kenrich williams,svi mykhailiuk"
2021-10-22,24.55,1,5.0,12.0,0.417,0.0,3.0,0.0,1.0,1.0,1.0,1.0,10.0,11.0,2.0,0.0,5.0,1.0,1.0,11.0,-7.0,0.442,0.417,0.25,0.083,4.0,36.9,21.1,17.6,0.0,15.0,7.4,23.5,92.0,101.0,7.8,"fred vanvleet,scottie barnes,og anunoby,gary trent jr.,precious achiuwa,khem birch,chris boucher,svi mykhailiuk,goran dragic,dalano banton,justin champagnie,malachi flynn","jayson tatum,marcus smart,robert williams,jaylen brown,dennis schroder,josh richardson,romeo langford,payton pritchard,grant williams,juancho hernangomez,aaron nesmith"
2021-10-24,29.58,0,4.0,12.0,0.333,1.0,6.0,0.167,8.0,9.0,0.889,2.0,8.0,10.0,1.0,3.0,3.0,1.0,3.0,17.0,18.0,0.533,0.375,0.5,0.75,7.9,30.9,19.5,5.1,5.0,11.3,5.9,26.0,113.0,84.0,6.8,"kevin porter jr.,jalen green,christian wood,jae'sean tate,daniel theis,eric gordon,alperen sengun,danuel house jr.,david nwaba,josh christopher","jayson tatum,marcus smart,dennis schroder,robert williams,grant williams,josh richardson,payton pritchard,aaron nesmith"
2021-10-27,26.15,1,7.0,12.0,0.583,2.0,4.0,0.5,0.0,0.0,0.0,3.0,8.0,11.0,4.0,1.0,1.0,1.0,2.0,16.0,-2.0,0.667,0.667,0.333,0.0,12.0,38.6,24.0,30.4,1.9,3.1,7.7,21.6,138.0,112.0,13.7,"bradley beal,kyle kuzma,kentavious caldwell-pope,spencer dinwiddie,daniel gafford,montrezl harrell,aaron holiday,davis bertans,deni avdija,corey kispert","jaylen brown,marcus smart,jayson tatum,robert williams,dennis schroder,grant williams,josh richardson"
2021-10-30,40.93,0,4.0,9.0,0.444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,1.0,6.0,0.0,4.0,8.0,-2.0,0.444,0.444,0.111,0.0,0.0,24.4,12.2,18.5,1.2,12.5,0.0,9.9,102.0,89.0,6.7,"kyle kuzma,bradley beal,kentavious caldwell-pope,spencer dinwiddie,montrezl harrell,deni avdija,davis bertans,raul neto,aaron holiday,corey kispert","jaylen brown,jayson tatum,dennis schroder,grant williams,josh richardson,payton pritchard,romeo langford"
2021-11-01,32.98,1,8.0,15.0,0.533,3.0,7.0,0.429,1.0,1.0,1.0,2.0,8.0,10.0,3.0,1.0,1.0,3.0,1.0,20.0,-10.0,0.648,0.633,0.467,0.067,5.5,33.3,16.5,14.4,1.5,2.6,16.3,23.6,117.0,128.0,4.8,"zach lavine,nikola vucevic,demar derozan,lonzo ball,javonte green,alex caruso,ayo dosunmu,derrick jones jr.,tony bradley","jayson tatum,jaylen brown,marcus smart,robert williams,josh richardson,dennis schroder,grant williams,romeo langford,payton pritchard,bruno fernando,juancho hernangomez,aaron nesmith"
2021-11-03,26.45,0,3.0,9.0,0.333,2.0,5.0,0.4,4.0,4.0,1.0,2.0,10.0,12.0,7.0,1.0,3.0,3.0,2.0,12.0,14.0,0.558,0.444,0.556,0.444,7.7,37.0,22.7,46.1,1.9,13.3,21.8,24.7,110.0,72.0,15.6,"cole anthony,wendell carter jr.,franz wagner,mo bamba,jalen suggs,terrence ross,r.j. hampton,chuma okeke,moritz wagner,mychal mulder,ignas brazdeikis","jayson tatum,marcus smart,jaylen brown,robert williams,dennis schroder,josh richardson,romeo langford,payton pritchard,grant williams,aaron nesmith,bruno fernando,juancho hernangomez"
2021-11-04,29.47,0,3.0,9.0,0.333,2.0,7.0,0.286,2.0,3.0,0.667,2.0,5.0,7.0,1.0,0.0,2.0,0.0,4.0,10.0,10.0,0.484,0.444,0.778,0.333,7.6,17.0,12.5,6.2,0.0,8.1,0.0,16.4,118.0,86.0,3.5,"jimmy butler,duncan robinson,p.j. tucker,bam adebayo,kyle lowry,tyler herro,markieff morris,dewayne dedmon,caleb martin,omer yurtseven,gabe vincent","marcus smart,jayson tatum,jaylen brown,robert williams,dennis schroder,romeo langford,aaron nesmith,grant williams,payton pritchard,bruno fernando,juancho hernangomez"
2021-11-06,26.05,0,5.0,11.0,0.455,0.0,4.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,14.0,-4.0,0.549,0.455,0.364,0.364,4.5,15.8,9.7,16.9,0.0,0.0,0.0,22.6,127.0,120.0,2.7,"luka doncic,tim hardaway jr.,dorian finney-smith,kristaps porzingis,dwight powell,jalen brunson,reggie bullock,frank ntilikina,willie cauley-stein,sterling brown","dennis schroder,jayson tatum,marcus smart,robert williams,josh richardson,aaron nesmith,payton pritchard,grant williams"
2021-11-10,24.17,1,5.0,11.0,0.455,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,1.0,1.0,1.0,0.0,10.0,-6.0,0.455,0.455,0.273,0.0,4.2,26.1,14.0,12.4,2.0,3.8,8.3,20.6,97.0,88.0,3.5,"og anunoby,fred vanvleet,gary trent jr.,scottie barnes,pascal siakam,precious achiuwa,svi mykhailiuk,dalano banton,chris boucher,malachi flynn,justin champagnie","jayson tatum,marcus smart,dennis schroder,robert williams,josh richardson,romeo langford,grant williams,aaron nesmith,payton pritchard"
2021-11-12,29.83,1,3.0,10.0,0.3,1.0,6.0,0.167,2.0,2.0,1.0,2.0,5.0,7.0,5.0,1.0,1.0,3.0,0.0,9.0,-5.0,0.414,0.35,0.6,0.2,8.3,18.1,13.5,21.3,1.8,3.5,21.6,20.6,97.0,111.0,-0.1,"bobby portis,jrue holiday,george hill,pat connaughton,grayson allen,jordan nwora,thanasis antetokounmpo","marcus smart,jayson tatum,dennis schroder,robert williams,josh richardson,romeo langford,grant williams,aaron nesmith"
2021-11-15,31.68,0,7.0,10.0,0.7,3.0,4.0,0.75,0.0,0.0,0.0,0.0,9.0,9.0,3.0,0.0,2.0,1.0,3.0,17.0,8.0,0.85,0.85,0.4,0.0,0.0,29.0,15.5,17.9,0.0,7.0,9.1,16.5,146.0,96.0,11.5,"ricky rubio,dean wade,darius garland,isaac okoro,evan mobley,cedi osman,denzel valentine,dylan windler","marcus smart,jayson tatum,dennis schroder,robert williams,josh richardson,grant williams,romeo langford,aaron nesmith,payton pritchard"
2021-11-17,32.92,0,5.0,9.0,0.556,1.0,4.0,0.25,2.0,4.0,0.5,2.0,5.0,7.0,2.0,2.0,1.0,2.0,1.0,13.0,-10.0,0.604,0.611,0.444,0.444,6.3,20.3,12.4,9.8,3.2,3.3,15.7,17.6,110.0,115.0,2.6,"trae young,john collins,kevin huerter,clint capela,bogdan bogdanovic,cam reddish,danilo gallinari,delon wright,gorgui dieng,timothe luwawu-cabarrot","jayson tatum,marcus smart,dennis schroder,grant williams,josh richardson,romeo langford,aaron nesmith,bruno fernando,juancho hernangomez,payton pritchard,brodric thomas"
2021-11-19,32.02,1,5.0,9.0,0.556,1.0,3.0,0.333,7.0,10.0,0.7,1.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0,18.0,1.0,0.672,0.611,0.333,1.111,3.9,9.8,7.1,16.4,1.5,2.8,6.9,18.5,144.0,108.0,6.7,"anthony davis,lebron james,russell westbrook,talen horton-tucker,malik monk,kent bazemore","dennis schroder,jayson tatum,marcus smart,grant williams,josh richardson,romeo langford,payton pritchard,juancho hernangomez,aaron nesmith"
