date,mp,home,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opponent,team
2020-12-23,24.43,0,4.0,6.0,0.667,1.0,2.0,0.5,4.0,4.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,3.0,2.0,13.0,31.0,0.838,0.75,0.333,0.667,0.0,17.1,9.5,16.8,0.0,0.0,27.9,18.6,127.0,104.0,2.8,"patrick williams,coby white,lauri markkanen,wendell carter jr.,zach lavine,otto porter jr.,ryan arcidiacono,chandler hutchison,daniel gafford,adam mokoka","trae young,de'andre hunter,cam reddish,john collins,kevin huerter,bogdan bogdanovic,bruno fernando,brandon goodwin,nathan knight,skylar mays"
2020-12-30,3.15,0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.25,1.25,0.5,0.0,0.0,33.1,16.2,0.0,0.0,0.0,0.0,24.1,250.0,136.0,35.9,"kevin durant,kyrie irving,joe harris,timothe luwawu-cabarrot,deandre jordan,jarrett allen,caris levert,taurean prince,landry shamet,jeff green","de'andre hunter,cam reddish,trae young,john collins,clint capela,bogdan bogdanovic,kevin huerter,bruno fernando"
2021-01-22,14.68,0,3.0,8.0,0.375,1.0,4.0,0.25,3.0,3.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.536,0.438,0.5,0.375,7.6,18.9,13.8,0.0,0.0,0.0,0.0,27.2,125.0,106.0,-1.8,"jarred vanderbilt,malik beasley,naz reid,d'angelo russell,josh okogie,anthony edwards,jaden mcdaniels,jarrett culver,ricky rubio,jordan mclaughlin,jake layman,jaylen nowell","kevin huerter,trae young,clint capela,john collins,de'andre hunter,cam reddish,brandon goodwin,onyeka okongwu,bruno fernando"
2021-01-24,18.67,0,4.0,8.0,0.5,3.0,6.0,0.5,6.0,6.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,17.0,-5.0,0.799,0.688,0.75,0.75,0.0,13.5,6.5,16.2,0.0,0.0,0.0,26.9,163.0,135.0,10.2,"giannis antetokounmpo,khris middleton,jrue holiday,donte divincenzo,brook lopez,bobby portis,pat connaughton,bryn forbes,torrey craig","de'andre hunter,john collins,kevin huerter,onyeka okongwu,cam reddish,brandon goodwin"
2021-01-26,14.45,1,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,7.0,0.347,0.0,1.0,1.0,0.0,6.6,3.6,0.0,0.0,0.0,51.0,18.6,35.0,113.0,-21.7,"reggie jackson,terance mann,nicolas batum,serge ibaka,luke kennard,marcus morris,ivica zubac,amir coffey","trae young,de'andre hunter,john collins,kevin huerter,clint capela,brandon goodwin,skylar mays"
2021-01-27,14.42,1,4.0,6.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-14.0,0.799,0.75,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,164.0,140.0,6.6,"james harden,kevin durant,kyrie irving,joe harris,deandre jordan,jeff green,bruce brown,timothe luwawu-cabarrot,reggie perry","de'andre hunter,trae young,john collins,kevin huerter,clint capela,cam reddish,brandon goodwin"
2021-01-29,18.3,0,4.0,8.0,0.5,2.0,4.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,11.0,-3.0,0.619,0.625,0.5,0.25,0.0,16.4,8.4,0.0,0.0,0.0,25.3,27.1,89.0,105.0,-4.6,"bradley beal,russell westbrook,jerome robinson,rui hachimura,robin lopez,davis bertans,garrison mathews,raul neto,alex len,moritz wagner,cassius winston,anthony gill","trae young,john collins,kevin huerter,clint capela,de'andre hunter,cam reddish,onyeka okongwu,brandon goodwin,bruno fernando"
2021-02-01,19.1,1,2.0,10.0,0.2,2.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,6.0,-8.0,0.3,0.3,0.5,0.0,0.0,7.4,3.8,15.7,2.7,0.0,23.1,31.9,54.0,115.0,-13.2,"lebron james,anthony davis,dennis schroder,kentavious caldwell-pope,montrezl harrell,alex caruso,kyle kuzma,talen horton-tucker","kevin huerter,trae young,john collins,clint capela,cam reddish,bruno fernando"
2021-02-03,20.83,1,4.0,11.0,0.364,2.0,8.0,0.25,9.0,9.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,19.0,-1.0,0.635,0.455,0.727,0.818,5.1,5.0,5.1,12.9,0.0,4.3,0.0,30.4,148.0,129.0,7.1,"luka doncic,josh richardson,kristaps porzingis,maxi kleber,dorian finney-smith,tim hardaway jr.,jalen brunson,willie cauley-stein,trey burke,james johnson","john collins,kevin huerter,trae young,clint capela,cam reddish,brandon goodwin"
2021-02-04,18.07,1,1.0,6.0,0.167,0.0,2.0,0.0,3.0,3.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,0.342,0.167,0.333,0.5,4.6,18.5,10.5,0.0,0.0,0.0,21.5,21.1,65.0,120.0,-14.7,"donovan mitchell,bojan bogdanovic,royce o'neale,rudy gobert,mike conley,joe ingles,jordan clarkson,derrick favors,georges niang,miye oni,jarrell brantley,juwan morgan,shaquille harrison","kevin huerter,john collins,cam reddish,clint capela,brandon goodwin,nathan knight,bruno fernando,skylar mays"
2021-02-06,24.58,1,4.0,6.0,0.667,3.0,5.0,0.6,3.0,3.0,1.0,0.0,5.0,5.0,4.0,0.0,0.0,2.0,4.0,14.0,9.0,0.956,0.917,0.833,0.5,0.0,18.4,12.1,22.8,0.0,0.0,21.5,17.1,151.0,121.0,5.9,"fred vanvleet,kyle lowry,pascal siakam,norman powell,chris boucher,deandre' bembry,terence davis,stanley johnson,yuta watanabe","kevin huerter,trae young,john collins,cam reddish,clint capela,onyeka okongwu"
2021-02-10,30.12,0,2.0,12.0,0.167,1.0,7.0,0.143,6.0,6.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,11.0,-2.0,0.376,0.208,0.583,0.5,0.0,12.9,6.1,13.0,0.0,0.0,0.0,21.3,95.0,128.0,-8.1,"dorian finney-smith,luka doncic,josh richardson,maxi kleber,kristaps porzingis,jalen brunson,tim hardaway jr.,willie cauley-stein,dwight powell,trey burke","trae young,john collins,kevin huerter,cam reddish,clint capela,onyeka okongwu,brandon goodwin,skylar mays"
2021-02-12,16.6,1,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.25,0.25,0.75,0.0,0.0,14.8,6.6,8.0,2.8,0.0,0.0,9.9,66.0,122.0,-8.1,"jakob poeltl,keldon johnson,demar derozan,dejounte murray,derrick white,patty mills,drew eubanks,lonnie walker iv,rudy gay,devin vassell,quinndary weatherspoon,trey lyles,keita bates-diop","kevin huerter,trae young,john collins,clint capela,cam reddish,skylar mays,onyeka okongwu,brandon goodwin,bruno fernando,nathan knight"
2021-02-13,26.33,1,7.0,14.0,0.5,4.0,8.0,0.5,2.0,4.0,0.5,0.0,7.0,7.0,0.0,1.0,0.0,1.0,5.0,20.0,-20.0,0.635,0.643,0.571,0.286,0.0,33.6,15.8,0.0,1.8,0.0,6.0,27.5,106.0,121.0,0.9,"doug mcdermott,myles turner,malcolm brogdon,justin holiday,domantas sabonis,t.j. mcconnell,aaron holiday,jeremy lamb,kelan martin","john collins,trae young,kevin huerter,cam reddish,clint capela,brandon goodwin,skylar mays,bruno fernando"
2021-02-15,26.02,0,3.0,5.0,0.6,3.0,4.0,0.75,7.0,7.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,5.0,16.0,-14.0,0.99,0.9,0.8,1.4,0.0,22.5,11.0,0.0,0.0,3.8,0.0,13.5,208.0,132.0,8.4,"julius randle,rj barrett,nerlens noel,elfrid payton,reggie bullock,derrick rose,immanuel quickley,alec burks,taj gibson,obi toppin","trae young,kevin huerter,clint capela,cam reddish,john collins,skylar mays,onyeka okongwu"
2021-02-17,24.98,0,3.0,13.0,0.231,2.0,6.0,0.333,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,9.0,0.0,0.335,0.308,0.462,0.077,0.0,9.6,5.2,5.0,0.0,0.0,13.0,28.3,67.0,123.0,-17.5,"jaylen brown,jayson tatum,tristan thompson,javonte green,payton pritchard,grant williams,aaron nesmith,robert williams","trae young,kevin huerter,cam reddish,clint capela,john collins,skylar mays,bruno fernando"
2021-02-19,24.13,0,2.0,14.0,0.143,2.0,7.0,0.286,3.0,4.0,0.75,0.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,9.0,9.0,0.286,0.214,0.5,0.286,0.0,10.8,4.7,17.5,2.0,0.0,6.0,29.2,71.0,125.0,-13.0,"jayson tatum,jaylen brown,kemba walker,daniel theis,tristan thompson,aaron nesmith,payton pritchard,robert williams,javonte green","trae young,clint capela,cam reddish,john collins,kevin huerter,bruno fernando,skylar mays,brandon goodwin"
2021-02-21,20.85,1,3.0,6.0,0.5,1.0,3.0,0.333,5.0,5.0,1.0,1.0,4.0,5.0,3.0,2.0,0.0,1.0,1.0,12.0,5.0,0.732,0.583,0.5,0.833,5.8,24.9,14.9,19.7,4.7,0.0,10.9,19.9,148.0,111.0,10.5,"nikola jokic,jamal murray,zeke nnaji,will barton,michael porter jr.,monte morris,facundo campazzo,bol bol,r.j. hampton,isaiah hartenstein,vlatko cancar","trae young,clint capela,kevin huerter,john collins,cam reddish,onyeka okongwu,skylar mays"
2021-02-23,23.22,0,1.0,7.0,0.143,1.0,4.0,0.25,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,-10.0,0.317,0.214,0.571,0.286,0.0,0.0,0.0,5.5,0.0,0.0,11.3,16.7,73.0,130.0,-16.1,"darius garland,isaac okoro,collin sexton,jarrett allen,dean wade,dylan windler,cedi osman,lamar stevens,javale mcgee","trae young,kevin huerter,clint capela,john collins,skylar mays,onyeka okongwu"
2021-02-24,33.48,1,13.0,16.0,0.813,10.0,12.0,0.833,2.0,2.0,1.0,0.0,6.0,6.0,2.0,2.0,0.0,4.0,2.0,38.0,25.0,1.126,1.125,0.75,0.125,0.0,19.1,10.6,10.9,3.0,0.0,19.2,27.3,160.0,114.0,24.1,"jayson tatum,jaylen brown,tristan thompson,daniel theis,grant williams,payton pritchard,robert williams,aaron nesmith,javonte green,carsen edwards,tremont waters","trae young,kevin huerter,john collins,clint capela,skylar mays,onyeka okongwu,brandon goodwin,bruno fernando,nathan knight"
2021-02-26,25.3,0,2.0,8.0,0.25,0.0,3.0,0.0,4.0,5.0,0.8,0.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,8.0,-10.0,0.392,0.25,0.375,0.625,0.0,23.7,10.2,9.7,0.0,0.0,0.0,16.9,105.0,126.0,-7.8,"shai gilgeous-alexander,theo maledon,luguentz dort,isaiah roby,darius bazley,kenrich williams,ty jerome,mike muscala,justin jackson","kevin huerter,john collins,trae young,clint capela,skylar mays,onyeka okongwu"
2021-02-28,19.48,0,2.0,10.0,0.2,0.0,7.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,6.0,-18.0,0.276,0.2,0.7,0.2,5.0,16.4,10.5,15.9,5.2,0.0,0.0,23.8,82.0,110.0,-5.5,"duncan robinson,bam adebayo,kendrick nunn,goran dragic,kelly olynyk,tyler herro,andre iguodala,gabe vincent,precious achiuwa,kz okpala","kevin huerter,john collins,trae young,clint capela,skylar mays,onyeka okongwu"
2021-03-02,24.92,0,2.0,7.0,0.286,2.0,6.0,0.333,2.0,2.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,8.0,20.0,0.508,0.429,0.857,0.286,0.0,18.8,10.6,0.0,2.3,0.0,11.3,17.0,100.0,92.0,-0.8,"kendrick nunn,bam adebayo,duncan robinson,goran dragic,kelly olynyk,tyler herro,andre iguodala,gabe vincent,precious achiuwa,max strus","trae young,kevin huerter,clint capela,john collins,bogdan bogdanovic,onyeka okongwu"
2021-03-03,39.32,0,8.0,18.0,0.444,5.0,10.0,0.5,2.0,2.0,1.0,0.0,9.0,9.0,6.0,2.0,1.0,0.0,3.0,23.0,7.0,0.609,0.583,0.556,0.111,0.0,23.9,12.5,25.9,2.6,2.5,0.0,21.9,131.0,112.0,8.1,"terrence ross,nikola vucevic,michael carter-williams,chuma okeke,chasson randle,khem birch,mo bamba,gary clark","trae young,kevin huerter,john collins,bogdan bogdanovic,onyeka okongwu,bruno fernando"
2021-03-11,29.12,0,6.0,10.0,0.6,4.0,8.0,0.5,4.0,4.0,1.0,1.0,4.0,5.0,1.0,2.0,0.0,1.0,2.0,20.0,10.0,0.85,0.8,0.8,0.4,3.4,12.2,8.0,5.7,3.1,0.0,7.8,17.6,159.0,114.0,9.9,"norman powell,kyle lowry,deandre' bembry,stanley johnson,chris boucher,terence davis,yuta watanabe","trae young,kevin huerter,john collins,clint capela,bogdan bogdanovic,onyeka okongwu"
2021-03-13,29.43,1,6.0,11.0,0.545,3.0,6.0,0.5,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,0.0,1.0,15.0,24.0,0.682,0.682,0.545,0.0,0.0,21.1,12.4,4.9,0.0,0.0,0.0,16.8,149.0,113.0,3.8,"de'aaron fox,harrison barnes,buddy hield,richaun holmes,marvin bagley iii,tyrese haliburton,cory joseph,jahmi'us ramsey,kyle guy,justin james,daquan jeffries","trae young,john collins,clint capela,kevin huerter,bogdan bogdanovic,onyeka okongwu,nathan knight,bruno fernando,brandon goodwin,skylar mays"
2021-03-14,28.38,1,5.0,12.0,0.417,3.0,7.0,0.429,7.0,7.0,1.0,1.0,4.0,5.0,0.0,1.0,1.0,1.0,3.0,20.0,11.0,0.663,0.542,0.583,0.583,5.3,13.3,10.2,0.0,2.0,3.3,6.2,27.9,142.0,93.0,7.0,"darius garland,collin sexton,jarrett allen,isaac okoro,kevin love,cedi osman,larry nance jr.,dylan windler,dean wade,javale mcgee,brodric thomas,lamar stevens","john collins,trae young,kevin huerter,bogdan bogdanovic,nathan knight,bruno fernando,brandon goodwin,skylar mays"
2021-03-16,34.15,0,10.0,14.0,0.714,5.0,8.0,0.625,4.0,4.0,1.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,3.0,29.0,17.0,0.92,0.893,0.571,0.286,0.0,21.6,11.2,0.0,1.5,2.6,0.0,21.1,178.0,114.0,12.0,"victor oladipo,kevin porter jr.,sterling brown,jae'sean tate,kenyon martin jr.,anthony lamb,mason jones","kevin huerter,john collins,trae young,nathan knight,bogdan bogdanovic"
2021-03-18,24.85,1,3.0,9.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,1.0,8.0,9.0,1.0,0.0,0.0,1.0,1.0,8.0,6.0,0.388,0.333,0.333,0.333,5.9,28.1,19.8,4.7,0.0,0.0,8.8,20.5,84.0,96.0,-8.5,"shai gilgeous-alexander,aleksej pokusevski,al horford,isaiah roby,luguentz dort,ty jerome,kenrich williams,moses brown,theo maledon,svi mykhailiuk","john collins,clint capela,trae young,kevin huerter,bogdan bogdanovic,nathan knight,onyeka okongwu,brandon goodwin,skylar mays,bruno fernando"
